symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,traded_value,exit_reason
GOOG,2010-04-13,2010-04-16,14.14224259923486,13.57423621137129,1414.202864903623,-842.4729847392191,-0.042081567669291664,39216.723738999775,stop_loss
GOOG,2010-08-10,2010-08-19,12.408704662580153,11.787284753956328,1598.1930380578963,-1031.818833507601,-0.051977296958177266,38689.69333983419,stop_loss
GOOG,2010-09-22,2011-03-10,12.668315149986936,14.44668368806057,1549.1516751831737,2712.957353977272,0.13810076671499533,42024.871014187454,signal_exit
GOOG,2011-07-18,2011-08-08,14.635280117234979,13.787952333099255,1199.845584170837,-1050.7659900839062,-0.05977857160488049,34121.05001961654,stop_loss
GOOG,2011-10-18,2012-01-27,14.331454834455798,14.084923404370997,981.5978663974331,-269.8881820211245,-0.01916575381642826,27907.523975462704,signal_exit
GOOG,2012-02-29,2012-03-06,15.280232763229872,14.657119729081494,1302.5719294421233,-850.6451021494904,-0.04269555305610007,39015.4586005717,stop_loss
GOOG,2012-07-26,2012-11-08,15.191308321750943,16.538275698739014,1040.769720994286,1368.8596708280093,0.08649181764135505,33039.00096199365,signal_exit
GOOG,2012-12-17,2013-08-20,17.42677474709015,21.42794341994293,1101.7946437967908,4365.656292314037,0.22714217957901886,42829.1210897459,signal_exit
GOOG,2013-09-17,2013-10-08,21.92019082821779,21.21453989228739,952.5636254062329,-713.2659892772099,-0.034125507158402,41109.455852490944,stop_loss
GOOG,2013-10-21,2014-04-03,24.984386378702762,28.15207152610378,813.9601646180884,2535.1185640133845,0.12453526795023555,43271.296318668145,signal_exit
GOOG,2014-06-10,2014-10-09,27.71835653542369,28.21777502642166,766.4504543305202,339.90725587739144,0.015983607092643237,42893.51819602799,signal_exit
GOOG,2015-02-13,2015-04-16,26.86975939236668,26.17844027851508,788.1599817220308,-586.6805282203604,-0.027675115321051484,41831.64575206037,signal_exit
GOOG,2015-04-28,2015-05-06,27.50337657821973,26.239348199342963,770.6469147569005,-1015.5362353870041,-0.047865201033092074,41437.86043276332,stop_loss
GOOG,2015-07-16,2016-01-21,28.023058142500027,34.78476172192159,749.1075724703915,5018.193540674052,0.23881060810603275,47070.80575585284,signal_exit
GOOG,2016-02-02,2016-02-05,38.901624627845855,34.72625508330803,264.5013921243344,-1123.8657338465655,-0.10911504884911663,19484.966216633205,stop_loss
GOOG,2016-03-17,2016-04-27,36.518930727133146,34.532587105865986,552.8286221680858,-1137.3869200040608,-0.05628148903532297,39299.50141672502,stop_loss
GOOG,2016-06-10,2016-06-14,35.676929626943505,35.49315857644731,603.8544645226298,-153.94734479422914,-0.007138687519090749,42997.919175322575,signal_exit
GOOG,2016-07-20,2016-11-15,36.56257289185634,37.00357846042941,588.3853915412578,216.19598536914418,0.01003956548576672,43306.76165136481,signal_exit
GOOG,2016-12-14,2017-08-11,39.541310767027035,44.979228856940004,545.154486425874,2918.4286921613348,0.13525220578291713,46098.30749410529,signal_exit
GOOG,2017-09-29,2018-03-27,47.20758048683148,52.659148628096496,468.98842249313435,2509.886002938547,0.11325204558162755,46858.47955586148,signal_exit
GOOG,2018-05-16,2018-09-19,53.42142283286814,57.71105888812068,394.8282399762355,1649.7912116718762,0.07813961184349004,43899.33444844331,signal_exit
GOOG,2018-10-04,2018-10-05,59.273781971823915,57.09429845986776,387.5532044855613,-889.7646416531898,-0.038694308985442336,45121.79421528081,stop_loss
GOOG,2019-01-25,2019-05-20,53.80275986277872,56.696505500975455,281.0311993382535,782.1790662110961,0.051678871381644634,31068.861325303715,signal_exit
GOOG,2019-07-19,2020-03-06,56.93620964554039,63.26329994612002,403.08666792096597,2501.9149270886737,0.10890591663002934,48473.77003406665,signal_exit
GOOG,2020-05-05,2020-09-24,66.34451478111986,69.89994292756768,173.42981585262487,592.9883975043267,0.05148531015845738,23640.357328339738,signal_exit
GOOG,2020-10-16,2022-01-07,77.64705069932367,136.6314064253231,222.45003863769207,13073.405959201344,0.7561313066522332,47683.523656030884,signal_exit
GOOG,2022-03-30,2022-04-08,141.69216144987635,133.07805079038516,153.1662557158289,-1361.4766006271566,-0.06267108060174434,42107.22704891804,stop_loss
GOOG,2022-08-10,2022-08-31,118.60408950158548,110.59906202776413,119.40164175117945,-983.1806552247144,-0.06935683799182998,27381.394110153597,signal_exit
GOOG,2023-01-27,2023-02-21,98.23343782568386,91.17929121462785,183.45460585234972,-1328.8643237054748,-0.07366456043124696,34766.65892612613,stop_loss
GOOG,2023-03-20,2023-11-01,100.22685845639224,124.1824420120569,204.36340277031601,4849.783522527217,0.23653806128945665,45881.53095888166,signal_exit
GOOG,2023-11-17,2023-12-04,136.68378555234688,130.35214944502934,193.2865787164296,-1275.4347431308051,-0.04822869029939138,51640.88141126116,stop_loss
GOOG,2024-03-21,2024-08-05,149.080759704625,156.09408150646362,139.33549042765458,934.6829466198215,0.04495178001769028,42542.458407095415,signal_exit
GOOG,2024-10-29,2025-02-25,168.40113249437513,179.13255585810188,147.64163709476117,1533.094471083641,0.06160003799001481,51335.30571283032,signal_exit
GOOG,2025-05-28,2026-03-03,173.36295901196334,297.88152720215095,96.56094686383442,11978.127032780256,0.7148205188117389,45520.55388466935,signal_exit
