date,cash,position_value,equity,open_positions,portfolio_heat
2010-01-04,100000.0,0.0,100000.0,0,0.0
2010-01-05,100000.0,0.0,100000.0,0,0.0
2010-01-06,100000.0,0.0,100000.0,0,0.0
2010-01-07,100000.0,0.0,100000.0,0,0.0
2010-01-08,100000.0,0.0,100000.0,0,0.0
2010-01-11,100000.0,0.0,100000.0,0,0.0
2010-01-12,100000.0,0.0,100000.0,0,0.0
2010-01-13,100000.0,0.0,100000.0,0,0.0
2010-01-14,100000.0,0.0,100000.0,0,0.0
2010-01-15,100000.0,0.0,100000.0,0,0.0
2010-01-19,100000.0,0.0,100000.0,0,0.0
2010-01-20,100000.0,0.0,100000.0,0,0.0
2010-01-21,100000.0,0.0,100000.0,0,0.0
2010-01-22,100000.0,0.0,100000.0,0,0.0
2010-01-25,100000.0,0.0,100000.0,0,0.0
2010-01-26,100000.0,0.0,100000.0,0,0.0
2010-01-27,100000.0,0.0,100000.0,0,0.0
2010-01-28,100000.0,0.0,100000.0,0,0.0
2010-01-29,100000.0,0.0,100000.0,0,0.0
2010-02-01,100000.0,0.0,100000.0,0,0.0
2010-02-02,100000.0,0.0,100000.0,0,0.0
2010-02-03,100000.0,0.0,100000.0,0,0.0
2010-02-04,100000.0,0.0,100000.0,0,0.0
2010-02-05,100000.0,0.0,100000.0,0,0.0
2010-02-08,100000.0,0.0,100000.0,0,0.0
2010-02-09,100000.0,0.0,100000.0,0,0.0
2010-02-10,100000.0,0.0,100000.0,0,0.0
2010-02-11,100000.0,0.0,100000.0,0,0.0
2010-02-12,100000.0,0.0,100000.0,0,0.0
2010-02-16,100000.0,0.0,100000.0,0,0.0
2010-02-17,100000.0,0.0,100000.0,0,0.0
2010-02-18,100000.0,0.0,100000.0,0,0.0
2010-02-19,100000.0,0.0,100000.0,0,0.0
2010-02-22,100000.0,0.0,100000.0,0,0.0
2010-02-23,100000.0,0.0,100000.0,0,0.0
2010-02-24,100000.0,0.0,100000.0,0,0.0
2010-02-25,100000.0,0.0,100000.0,0,0.0
2010-02-26,100000.0,0.0,100000.0,0,0.0
2010-03-01,100000.0,0.0,100000.0,0,0.0
2010-03-02,100000.0,0.0,100000.0,0,0.0
2010-03-03,100000.0,0.0,100000.0,0,0.0
2010-03-04,100000.0,0.0,100000.0,0,0.0
2010-03-05,100000.0,0.0,100000.0,0,0.0
2010-03-08,100000.0,0.0,100000.0,0,0.0
2010-03-09,100000.0,0.0,100000.0,0,0.0
2010-03-10,100000.0,0.0,100000.0,0,0.0
2010-03-11,100000.0,0.0,100000.0,0,0.0
2010-03-12,100000.0,0.0,100000.0,0,0.0
2010-03-15,100000.0,0.0,100000.0,0,0.0
2010-03-16,100000.0,0.0,100000.0,0,0.0
2010-03-17,100000.0,0.0,100000.0,0,0.0
2010-03-18,100000.0,0.0,100000.0,0,0.0
2010-03-19,100000.0,0.0,100000.0,0,0.0
2010-03-22,100000.0,0.0,100000.0,0,0.0
2010-03-23,100000.0,0.0,100000.0,0,0.0
2010-03-24,100000.0,0.0,100000.0,0,0.0
2010-03-25,100000.0,0.0,100000.0,0,0.0
2010-03-26,100000.0,0.0,100000.0,0,0.0
2010-03-29,100000.0,0.0,100000.0,0,0.0
2010-03-30,100000.0,0.0,100000.0,0,0.0
2010-03-31,100000.0,0.0,100000.0,0,0.0
2010-04-01,100000.0,0.0,100000.0,0,0.0
2010-04-05,100000.0,0.0,100000.0,0,0.0
2010-04-06,100000.0,0.0,100000.0,0,0.0
2010-04-07,100000.0,0.0,100000.0,0,0.0
2010-04-08,100000.0,0.0,100000.0,0,0.0
2010-04-09,100000.0,0.0,100000.0,0,0.0
2010-04-12,100000.0,0.0,100000.0,0,0.0
2010-04-13,79980.0,20487.197462069227,100467.19746206922,1,0.00789982320198234
2010-04-14,79980.0,20565.059972556417,100545.05997255642,1,0.007893705546206121
2010-04-15,79980.0,20785.024396929522,100765.02439692953,1,0.007876474027561297
2010-04-16,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-19,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-20,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-21,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-22,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-23,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-26,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-27,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-28,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-29,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-04-30,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-03,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-04,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-05,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-06,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-07,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-10,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-11,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-12,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-13,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-14,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-17,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-18,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-19,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-20,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-21,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-24,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-25,99157.52701526078,0.0,99157.52701526078,0,0.0
2010-05-26,99157.52701526078,0.0,99157.52701526078,0,0.0
