date,symbol,shares,close,market_value,stop_price
2010-04-13,GOOG,1414.202864903623,14.486745834350586,20487.197462069227,13.581026724733656
2010-04-14,GOOG,1414.202864903623,14.541803359985352,20565.059972556417,13.581026724733656
2010-04-15,GOOG,1414.202864903623,14.697342872619627,20785.024396929522,13.581026724733656
2010-08-10,GOOG,1598.1930380578963,12.436079978942873,19875.256443077687,11.793181344628643
2010-08-11,GOOG,1598.1930380578963,12.140551567077637,19402.94499268636,11.793181344628643
2010-08-12,GOOG,1598.1930380578963,12.147217750549316,19413.598840701216,11.793181344628643
2010-08-13,GOOG,1598.1930380578963,12.00747776031494,19190.267361170358,11.793181344628643
2010-08-16,GOOG,1598.1930380578963,11.98871612548828,19160.282647007803,11.793181344628643
2010-08-17,GOOG,1598.1930380578963,12.110435485839844,19354.813681318534,11.793181344628643
2010-08-18,GOOG,1598.1930380578963,11.90378475189209,19024.545917013682,11.793181344628643
2010-09-22,GOOG,1549.1516751831737,12.739507675170898,19735.429655999895,12.10524470201386
2010-09-23,GOOG,1549.1516751831737,12.677291870117188,19639.04793737807,12.10524470201386
2010-09-24,GOOG,1549.1516751831737,13.0182466506958,20167.23860687314,12.10524470201386
2010-09-27,GOOG,1549.1516751831737,13.09527587890625,20286.568564793422,12.10524470201386
2010-09-28,GOOG,1549.1516751831737,13.015283584594728,20162.648368058984,12.10524470201386
2010-09-29,GOOG,1549.1516751831737,13.028121948242188,20182.536940610058,12.10524470201386
2010-09-30,GOOG,1549.1516751831737,12.981212615966797,20109.86726993391,12.10524470201386
2010-10-01,GOOG,1549.1516751831737,12.97701644897461,20103.366770808614,12.10524470201386
2010-10-04,GOOG,1549.1516751831737,12.896282196044922,19978.297167637927,12.10524470201386
2010-10-05,GOOG,1549.1516751831737,13.28834342956543,20585.659484320604,12.10524470201386
2010-10-06,GOOG,1549.1516751831737,13.192549705505373,20437.260476220934,12.10524470201386
2010-10-07,GOOG,1549.1516751831737,13.08539867401123,20271.267276284176,12.10524470201386
2010-10-08,GOOG,1549.1516751831737,13.24192714691162,20513.75362229168,12.10524470201386
2010-10-11,GOOG,1549.1516751831737,13.303403854370115,20608.990366635753,12.10524470201386
2010-10-12,GOOG,1549.1516751831737,13.366360664367676,20706.52001430766,12.10524470201386
2010-10-13,GOOG,1549.1516751831737,13.413516998291016,20779.5723280005,12.10524470201386
2010-10-14,GOOG,1549.1516751831737,13.355003356933594,20688.925822470585,12.10524470201386
2010-10-15,GOOG,1549.1516751831737,14.8491792678833,23003.63093793667,12.10524470201386
2010-10-18,GOOG,1549.1516751831737,15.250622749328612,23625.527779709035,12.10524470201386
2010-10-19,GOOG,1549.1516751831737,15.006695747375488,23247.647856010946,12.10524470201386
2010-10-20,GOOG,1549.1516751831737,15.010397911071776,23253.383069102852,12.10524470201386
2010-10-21,GOOG,1549.1516751831737,15.109402656555176,23406.756436419546,12.10524470201386
2010-10-22,GOOG,1549.1516751831737,15.122735977172852,23427.411772390173,12.10524470201386
2010-10-25,GOOG,1549.1516751831737,15.220748901367188,23579.24865809543,12.10524470201386
2010-10-26,GOOG,1549.1516751831737,15.27259635925293,23659.568234333114,12.10524470201386
2010-10-27,GOOG,1549.1516751831737,15.220009803771973,23578.103683817677,12.10524470201386
2010-10-28,GOOG,1549.1516751831737,15.272101402282717,23658.801470913568,12.10524470201386
2010-10-29,GOOG,1549.1516751831737,15.151618003845217,23472.154412392352,12.10524470201386
2010-11-01,GOOG,1549.1516751831737,15.183714866638184,23521.8773211562,12.10524470201386
2010-11-02,GOOG,1549.1516751831737,15.198530197143556,23544.828515226993,12.10524470201386
2010-11-03,GOOG,1549.1516751831737,15.311602592468262,23719.99480586123,12.10524470201386
2010-11-04,GOOG,1549.1516751831737,15.412583351135254,23876.42931731147,12.10524470201386
2010-11-05,GOOG,1549.1516751831737,15.432579040527344,23907.40567302967,12.10524470201386
2010-11-08,GOOG,1549.1516751831737,15.474305152893066,23972.04574989991,12.10524470201386
2010-11-09,GOOG,1549.1516751831737,15.42616081237793,23897.462864140296,12.10524470201386
2010-11-10,GOOG,1549.1516751831737,15.378263473510742,23823.262621397378,12.10524470201386
2010-11-11,GOOG,1549.1516751831737,15.237784385681152,23605.639207157965,12.10524470201386
2010-11-12,GOOG,1549.1516751831737,14.894608497619627,23074.007705284977,12.10524470201386
2010-11-15,GOOG,1549.1516751831737,14.701539993286133,22774.915308371637,12.10524470201386
2010-11-16,GOOG,1549.1516751831737,14.411443710327148,22325.512165661316,12.10524470201386
2010-11-17,GOOG,1549.1516751831737,14.407246589660645,22319.010189149853,12.10524470201386
2010-11-18,GOOG,1549.1516751831737,14.728450775146484,22816.60419117109,12.10524470201386
2010-11-19,GOOG,1549.1516751831737,14.58698272705078,22597.448727478735,12.10524470201386
2010-11-22,GOOG,1549.1516751831737,14.59661102294922,22612.364418198962,12.10524470201386
2010-11-23,GOOG,1549.1516751831737,14.393915176391602,22298.357807951557,12.10524470201386
2010-11-24,GOOG,1549.1516751831737,14.689194679260254,22755.790544467785,12.10524470201386
2010-11-26,GOOG,1549.1516751831737,14.56649112701416,22565.704130954822,12.10524470201386
2010-11-29,GOOG,1549.1516751831737,14.371695518493652,22263.936187696952,12.10524470201386
2010-11-30,GOOG,1549.1516751831737,13.719905853271484,21254.215135950948,12.10524470201386
2010-12-01,GOOG,1549.1516751831737,13.933218002319336,21584.66800898535,12.10524470201386
2010-12-02,GOOG,1549.1516751831737,14.117645263671877,21870.373809859084,12.10524470201386
