symbol,strategy,date_from,date_to,mcp_total_return_pct,raw_total_return_pct,adjusted_total_return_pct,mcp_max_drawdown_pct,raw_max_drawdown_pct,adjusted_max_drawdown_pct,mcp_sharpe,raw_sharpe,adjusted_sharpe,mcp_profit_factor,raw_profit_factor,adjusted_profit_factor,mcp_win_rate_pct,raw_win_rate_pct,adjusted_win_rate_pct,mcp_trades,raw_trades,adjusted_trades,mcp_buy_hold_pct,raw_buy_hold_pct,adjusted_buy_hold_pct,raw_return_diff_pct,adjusted_return_diff_pct
GOOG,ema_cross,2024-06-13,2026-06-12,80.3,98.14284983487266,99.03301883285486,-0.0,-17.013232809729217,-16.913470395821008,12.01,1.6057867852764907,1.6156750488960163,inf,inf,inf,100.0,100.0,100.0,2,2.0,2.0,102.65,102.64795322526017,104.2022433005906,17.842849834872666,18.733018832854867
GOOG,supertrend,2024-06-13,2026-06-12,98.5,78.78783076317926,79.06607529702548,-0.18,-21.502420999253104,-21.501693048198433,15.09,1.404575456471056,1.408278120797754,428.78,7.711145872581129,7.731619170872841,83.3,83.33333333333334,83.33333333333334,6,6.0,6.0,102.65,102.64795322526017,104.2022433005906,-19.712169236820742,-19.433924702974522
GOOG,donchian,2024-06-13,2026-06-12,0.0,54.02949429004082,54.082599035526854,0.0,-17.074081512994034,-17.173630408077678,0.0,1.1166641750641118,1.1171647217771161,0.0,4.433349885012395,4.412879229198601,0.0,71.42857142857143,71.42857142857143,0,7.0,7.0,102.65,102.64795322526017,104.2022433005906,54.02949429004082,54.082599035526854
GOOG,macd,2024-06-13,2026-06-12,63.64,63.41532392479703,64.12158190500523,-16.19,-20.848693409931375,-20.84870996999979,4.7,1.2139412300817172,1.223361757204323,2.62,2.621789263972072,2.6454212011199583,42.9,42.857142857142854,42.857142857142854,21,21.0,21.0,102.65,102.64795322526017,104.2022433005906,-0.2246760752029715,0.48158190500522835
GOOG,rsi,2024-06-13,2026-06-12,-10.93,0.5768673728793194,0.7083061927187773,-11.64,-13.26134647743894,-13.200239064307196,-14.08,0.07646712315660834,0.08402608904314975,0.07,inf,inf,33.3,100.0,100.0,3,1.0,1.0,102.65,102.64795322526017,104.2022433005906,11.50686737287932,11.638306192718776
GOOG,bollinger,2024-06-13,2026-06-12,-5.14,-8.930760641024227,-8.587754760224476,-11.92,-17.3620538666485,-17.159036944985175,-1.98,-0.23901472666202317,-0.22691117366414856,0.74,0.7355157722842893,0.7512008670310959,57.1,57.14285714285714,57.14285714285714,7,7.0,7.0,102.65,102.64795322526017,104.2022433005906,-3.790760641024227,-3.447754760224476
NVDA,ema_cross,2024-06-13,2026-06-12,21.97,18.470641947555634,18.631799621275526,-11.44,-24.960816778974106,-24.960833934116046,5.23,0.43396776504127027,0.43617321061631104,3.14,2.028177450730529,2.0294467335232977,50.0,40.0,40.0,4,5.0,5.0,58.31,58.313402881828516,58.574335530151366,-3.4993580524443644,-3.3382003787244727
NVDA,supertrend,2024-06-13,2026-06-12,17.0,20.217999158413935,20.37473009236681,-16.98,-30.834931070771187,-30.830162449648324,2.75,0.4695700563636285,0.47185536538237627,1.68,1.791319963862071,1.7953041237685694,50.0,50.0,50.0,8,8.0,8.0,58.31,58.313402881828516,58.574335530151366,3.217999158413935,3.3747300923668107
NVDA,donchian,2024-06-13,2026-06-12,0.0,-20.036700835341904,-19.93794588384875,0.0,-30.894066577826685,-30.894084300728853,0.0,-0.3197263780038998,-0.31716165344429803,0.0,0.8666418951599892,0.8686337091968951,0.0,30.0,30.0,0,10.0,10.0,58.31,58.313402881828516,58.574335530151366,-20.036700835341904,-19.93794588384875
NVDA,macd,2024-06-13,2026-06-12,-13.33,-20.416199810277014,-20.410670633474524,-39.3,-42.6713473446962,-42.67136468904395,-0.3,-0.2196445225584423,-0.21953171181161157,0.95,0.8605932270809331,0.8607012932606184,36.8,35.0,35.0,19,20.0,20.0,58.31,58.313402881828516,58.574335530151366,-7.086199810277014,-7.080670633474524
NVDA,rsi,2024-06-13,2026-06-12,104.18,22.09964664694408,22.106514043597514,-0.0,-10.716321340547786,-10.71632920841149,38.02,0.9248766811078936,0.9251229917053985,inf,inf,inf,100.0,100.0,100.0,7,2.0,2.0,58.31,58.313402881828516,58.574335530151366,-82.08035335305593,-82.0734859564025
NVDA,bollinger,2024-06-13,2026-06-12,67.62,67.18635193132656,67.20169530700582,-0.0,-15.475981456567634,-15.475975825461108,23.68,1.1155710842705304,1.1157082439951336,inf,inf,inf,100.0,100.0,100.0,9,9.0,9.0,58.31,58.313402881828516,58.574335530151366,-0.43364806867344896,-0.4183046929941838
