symbol,stage,strategy,params_json,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,number_of_trades,average_trade_return_pct,buy_hold_return_pct,excess_vs_buy_hold_pct,buy_hold_max_drawdown_pct,buy_hold_sharpe
GOOG,strategy_selection_default,rsi_pullback,{},32.45143329728912,5.8055840279833015,-24.54652670578724,0.4861228698324715,0.3235934492846109,0.2365134626812412,3.5470942559623593,75.0,8.0,3.8003045047001125,183.46208299164633,-151.0106496943572,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,bollinger_mean_reversion,{},1.1813111762651651,0.23609165874018956,-25.626595677273045,0.09542563789489575,0.0759325006233481,0.00921275934241892,1.2122995198113136,70.0,20.0,0.4133341594789459,183.46208299164633,-182.28077181538117,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,macd_momentum,{},30.844678237176026,5.54659941716944,-45.10882462557023,0.35273764438350946,0.3795268892221962,0.12296040659914055,1.3573639232917405,38.18181818181819,55.0,0.7143948621759403,183.46208299164633,-152.6174047544703,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,ema_cross,{},112.05747189445212,16.292267414456795,-31.344375005131052,0.774458958578976,0.9300910437108837,0.5197828130817654,3.958631282581444,50.0,10.0,9.23090759280167,183.46208299164633,-71.4046110971942,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,supertrend,{},49.48851581882714,8.40784111410031,-41.554993058614755,0.47318457812523956,0.49445230656165307,0.20233046609442965,1.8114341786197061,47.368421052631575,19.0,2.9064654453500904,183.46208299164633,-133.97356717281917,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,donchian_breakout,{},17.612269255253498,3.3110233430538205,-45.52260465345677,0.2597145441544355,0.24788582259934855,0.07273360934109901,1.3529346554979973,39.130434782608695,23.0,1.3193359706393437,183.46208299164633,-165.84981373639283,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,volume_breakout,{},36.751128894166655,6.486485938347819,-23.615631077832234,0.4272609827406972,0.3909081776407521,0.27466917640141414,2.0889162269190016,46.666666666666664,15.0,2.9506903905070683,183.46208299164633,-146.71095409747969,-44.60184987847865,0.8272915190480647
GOOG,strategy_selection_default,pullback_continuation,{},-4.79857211562873,-0.9825642393481049,-32.84463817384076,-0.0063971726874100295,-0.003934452285676841,-0.029915514189791628,1.0024951529951613,25.0,16.0,0.00658735777580282,183.46208299164633,-188.26065510727506,-44.60184987847865,0.8272915190480647
GOOG,selected_strategy_parameter_sweep,ema_cross,"{""fast_window"": 5, ""slow_window"": 20}",79.69008865855349,12.488372313265494,-45.30352086194356,0.6204526431000569,0.7025489245549063,0.27566008282937093,1.952500779425052,40.625,32.0,2.326212557036114,183.46208299164633,-103.77199433309283,-44.60184987847865,0.8272915190480647
GOOG,selected_strategy_parameter_sweep,ema_cross,"{""fast_window"": 5, ""slow_window"": 30}",62.37994619646412,10.223509182241353,-46.858505329371646,0.5332079503932028,0.5989691360592813,0.21817830317846473,1.92195998309176,38.70967741935484,31.0,2.5481124118752425,183.46208299164633,-121.08213679518221,-44.60184987847865,0.8272915190480647
