symbol,stage,strategy,params_json,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,number_of_trades,average_trade_return_pct,buy_hold_return_pct,excess_vs_buy_hold_pct,buy_hold_max_drawdown_pct,buy_hold_sharpe
MSFT,strategy_selection_default,rsi_pullback,{},-0.1003399956593376,-0.02015603471152705,-30.201123216882454,0.051262424131196235,0.02682203246877418,-0.000667393545822157,1.1353054363813277,83.33333333333334,6.0,0.4320751708009514,50.348212016896056,-50.44855201255539,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,bollinger_mean_reversion,{},84.194180059738,13.048955989544542,-13.336599679470451,0.8777279110166775,0.7207872198146514,0.978432006895379,3.7959848108788887,70.37037037037037,27.0,2.391125073600321,50.348212016896056,33.845968042841946,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,macd_momentum,{},-33.98753614982497,-8.00134794822337,-46.39404280093893,-0.3540018500347995,-0.3310965225969938,-0.17246498613096586,0.7472355549204778,32.69230769230769,52.0,-0.6401143437798551,50.348212016896056,-84.33574816672103,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,ema_cross,{},13.012958882478397,2.4868116257733552,-31.110886536733773,0.22849732408447018,0.25522164654291546,0.07993380782759388,1.5898481697598827,30.76923076923077,13.0,2.3306935073780437,50.348212016896056,-37.335253134417655,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,supertrend,{},27.81854090225606,5.051850381178902,-27.551730082330362,0.3675507033296324,0.35927740392758906,0.18335873522580654,1.654540051854337,35.294117647058826,17.0,2.005436292567335,50.348212016896056,-22.529671114639992,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,donchian_breakout,{},4.285069055153223,0.8460625554431278,-28.073191188247737,0.1317195368070738,0.1197707699086369,0.03013774065690524,1.212748035430677,33.33333333333333,21.0,0.6154367885909655,50.348212016896056,-46.063142961742834,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,volume_breakout,{},11.786095555523502,2.2624312029150273,-26.160832502233223,0.22469029469906612,0.2081981177109056,0.08648162105398957,1.4011879674762695,18.75,16.0,1.1590329697190285,50.348212016896056,-38.562116461372554,-37.55646610503861,0.4404276799415527
MSFT,strategy_selection_default,pullback_continuation,{},16.529818862098942,3.1193940090613603,-15.291900588940921,0.3507978635568823,0.24126487659337634,0.20398994820286115,1.9519523884019359,36.36363636363637,11.0,1.7270902862443076,50.348212016896056,-33.81839315479711,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 1.5, ""window"": 15}",20.485965898583625,3.8130101381519843,-21.244017138927816,0.31455572062265547,0.2843505268531164,0.17948630493076445,1.5385059587833887,57.89473684210527,38.0,0.5991793111915282,50.348212016896056,-29.86224611831243,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 15}",63.205167026697985,10.335759780322707,-15.619480838579936,0.7866390419396665,0.640008732149722,0.6617223637032481,3.4591089316386943,66.66666666666666,27.0,1.9105383908728069,50.348212016896056,12.85695500980193,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 15}",26.114771025551818,4.769165024552802,-6.905961200342537,0.5815350108124961,0.30543344359705,0.6905867099740223,7.100559981012034,75.0,8.0,3.008540572085104,50.348212016896056,-24.233440991344235,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 1.5, ""window"": 20}",85.18120497120157,13.1703361225463,-13.751774480348743,0.8211667111924305,0.7557662098241729,0.9577190304688811,3.6457968953731634,72.97297297297297,37.0,1.7945427764594835,50.348212016896056,34.83299295430551,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 20}",84.194180059738,13.048955989544542,-13.336599679470451,0.8777279110166775,0.7207872198146514,0.978432006895379,3.7959848108788887,70.37037037037037,27.0,2.391125073600321,50.348212016896056,33.845968042841946,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",30.19714381515137,5.441507718121885,-7.400467807935717,0.6659272214530783,0.31966346849161703,0.7352923976355673,44.4353943598401,88.88888888888889,9.0,3.002450942565699,50.348212016896056,-20.151068201744682,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 1.5, ""window"": 30}",21.5255388828955,3.9922501186904435,-18.71677527162161,0.31483208473725127,0.2793879742000468,0.21329796723816502,1.7265264566681695,69.56521739130434,23.0,1.0311655067584855,50.348212016896056,-28.822673134000553,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 30}",47.939576802205885,8.181350767073269,-18.288201734824604,0.6435184496722992,0.4901671801645711,0.4473567650718904,3.0726350067632584,75.0,16.0,2.6094763916757047,50.348212016896056,-2.408635214690169,-37.55646610503861,0.4404276799415527
MSFT,selected_strategy_parameter_sweep,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 30}",35.23185614486821,6.247873651856128,-17.823423827132878,0.6470931183753849,0.40511783462678697,0.350542842523045,4.170948262466233,77.77777777777779,9.0,3.5897321002545244,50.348212016896056,-15.116355872027842,-37.55646610503861,0.4404276799415527
