symbol,stage,strategy,params_json,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,number_of_trades,average_trade_return_pct,buy_hold_return_pct,excess_vs_buy_hold_pct,buy_hold_max_drawdown_pct,buy_hold_sharpe
LRCX,strategy_selection_default,rsi_pullback,{},25.49324568544158,4.665283062246028,-25.126402400776914,0.36068212332126226,0.17379844578723272,0.18567254427564914,3.1074608134738537,75.0,4.0,6.681568032885524,464.11476662787663,-438.6215209424351,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,bollinger_mean_reversion,{},88.76026247024889,13.606181728854217,-23.43868408914489,0.6348732803251315,0.42762653737930045,0.5805010928559603,3.55253561264336,76.19047619047619,21.0,3.2608332139861194,464.11476662787663,-375.35450415762773,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,macd_momentum,{},10.395870139039154,2.0057822691688765,-46.23177030596246,0.22229445402325596,0.2524081602021476,0.04338536586192965,1.189061870427491,32.142857142857146,56.0,0.6774048737664182,464.11476662787663,-453.7188964888375,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,ema_cross,{},346.1448754188573,35.024535664544466,-42.08040008613176,1.036978946327426,1.2466113993677062,0.8323242077749953,1.307143043652221,25.0,8.0,1.9190591560549703,464.11476662787663,-117.96989120901938,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,supertrend,{},137.8439657035401,19.0030964573467,-43.55044765303374,0.6978521895550029,0.7716698612292688,0.4363467537404966,1.7899896514173075,52.63157894736842,19.0,3.4974588199911194,464.11476662787663,-326.2708009243366,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,donchian_breakout,{},161.72282120817613,21.31130094130085,-31.19135312268355,0.792115505461474,0.800816710463273,0.6832438739505164,3.015731184527635,66.66666666666666,18.0,4.967928470896011,464.11476662787663,-302.3919454197005,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,volume_breakout,{},53.02958052574249,8.918664831044044,-33.028914755015414,0.4519527483515299,0.45382378202490137,0.2700259726120656,1.8424871453057292,35.294117647058826,17.0,3.3195604939476206,464.11476662787663,-411.0851861021342,-56.84552373917469,0.97897718063989
LRCX,strategy_selection_default,pullback_continuation,{},196.36388574340842,24.377267814284064,-28.298643551020565,0.9447895383872783,0.8888935031427503,0.8614288444721203,2.5840905914041334,25.0,16.0,4.844936542731814,464.11476662787663,-267.75088088446824,-56.84552373917469,0.97897718063989
LRCX,selected_strategy_parameter_sweep,ema_cross,"{""fast_window"": 5, ""slow_window"": 20}",114.4093245306122,16.550106017684275,-41.32796034385275,0.6156009274957766,0.7442526832825828,0.4004578469391119,1.458447282786765,25.0,40.0,1.6777628579734423,464.11476662787663,-349.70544209726444,-56.84552373917469,0.97897718063989
LRCX,selected_strategy_parameter_sweep,ema_cross,"{""fast_window"": 5, ""slow_window"": 30}",173.35599542398984,22.37528370119122,-40.62314853811009,0.7505786154168522,0.9010482031035401,0.5508013166483177,1.794281386401749,31.03448275862069,29.0,3.292288088155508,464.11476662787663,-290.7587712038868,-56.84552373917469,0.97897718063989
LRCX,selected_strategy_parameter_sweep,ema_cross,"{""fast_window"": 5, ""slow_window"": 50}",240.07536127910302,27.86114801999606,-42.043961142830355,0.8689243207896838,1.0438949697428952,0.6626670575911506,2.8551587301711616,28.57142857142857,21.0,7.165263252947936,464.11476662787663,-224.0394053487736,-56.84552373917469,0.97897718063989
LRCX,selected_strategy_parameter_sweep,ema_cross,"{""fast_window"": 5, ""slow_window"": 60}",408.7838132422406,38.63396099926526,-32.623343846225964,1.1086501962350184,1.3475857806730533,1.1842428287354927,4.997620350133174,26.666666666666668,15.0,13.130589697148801,464.11476662787663,-55.33095338563605,-56.84552373917469,0.97897718063989
