symbol,stage,strategy,params_json,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,number_of_trades,average_trade_return_pct,buy_hold_return_pct,excess_vs_buy_hold_pct,buy_hold_max_drawdown_pct,buy_hold_sharpe
WMT,strategy_selection_default,rsi_pullback,{},41.775085499299955,7.260737888908331,-20.187568523827938,0.6152946126937234,0.36899062977011793,0.35966381391291796,3.8711461709951203,84.61538461538461,13.0,2.89264549548044,158.3380827075015,-116.56299720820155,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,bollinger_mean_reversion,{},7.40284198912502,1.4443510917781621,-22.864823488247644,0.1814329923233986,0.10163672258031373,0.06316913369222152,1.368261468830396,73.68421052631578,19.0,0.5435661857300499,158.3380827075015,-150.9352407183765,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,macd_momentum,{},56.985262684586814,9.47824824222787,-11.646317521081373,0.6709907042014656,0.6086760223387074,0.8138407891654156,1.8753489250603141,46.808510638297875,47.0,1.044185848091816,158.3380827075015,-101.3528200229147,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,ema_cross,{},42.88034359599025,7.4281213915715405,-35.26313782882564,0.48188150065628205,0.5268527027619181,0.21064833843287387,2.3842851840295225,50.0,10.0,5.274739922401465,158.3380827075015,-115.45773911151127,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,supertrend,{},35.41328329756202,6.276480343523683,-22.214355158994614,0.46354522927526015,0.45945028186101583,0.2825416402412352,1.9363258982436853,50.0,20.0,1.7882576555534095,158.3380827075015,-122.9247994099395,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,donchian_breakout,{},40.73383924692357,7.102091766147778,-22.514646847300522,0.5589033369301791,0.48167307474263543,0.3154431785812936,2.2196361358366232,59.09090909090909,22.0,1.7887839534389032,158.3380827075015,-117.60424346057793,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,volume_breakout,{},11.567691527662639,2.2222812430185312,-22.253989191571367,0.2401032326776167,0.22018827486144155,0.09985990484169975,1.457961623125422,37.5,16.0,0.984143093794436,158.3380827075015,-146.77039117983887,-26.008632712019917,0.9878753531217449
WMT,strategy_selection_default,pullback_continuation,{},28.18450250886255,5.112176568379012,-20.367143925583097,0.4270727660276167,0.3616886648394489,0.2510011510233217,1.8327026004198659,31.818181818181817,22.0,1.4939508963645627,158.3380827075015,-130.15358019863896,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 8, ""signal"": 5, ""slow"": 21}",29.843293165451446,5.383902856572509,-21.61333031941235,0.4354494524809511,0.4305416942175414,0.2491010305680135,1.3266151772014567,35.8974358974359,78.0,0.3787004696047839,158.3380827075015,-128.49478954205006,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 8, ""signal"": 9, ""slow"": 21}",30.68338772507151,5.52046168824567,-18.07430221277898,0.4428760763425076,0.4061897369688364,0.3054315250047422,1.421085225670047,46.55172413793103,58.0,0.5250064153890295,158.3380827075015,-127.65469498243,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 8, ""signal"": 5, ""slow"": 26}",54.80567029052816,9.171329048632227,-18.588621639667668,0.6790444360651928,0.6740860960542706,0.4933840295646683,1.6151919330685638,41.42857142857143,70.0,0.6725788085653848,158.3380827075015,-103.53241241697336,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 8, ""signal"": 9, ""slow"": 26}",28.422154752739637,5.151278186495922,-16.132256207575825,0.4147863753201589,0.36995974178227214,0.3193154212413788,1.3848417965429867,46.42857142857143,56.0,0.512558194786517,158.3380827075015,-129.91592795476188,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 12, ""signal"": 5, ""slow"": 21}",58.58018442169877,9.700686307188832,-18.418646585503097,0.696248244828714,0.6522020985853445,0.5266774766623746,1.7501356196381002,47.45762711864407,59.0,0.8523308979438643,158.3380827075015,-99.75789828580275,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 12, ""signal"": 9, ""slow"": 21}",66.09251774992198,10.724975138464199,-14.83821979844281,0.727743293425187,0.6828898315575991,0.7227939256965129,1.9739051811509702,45.83333333333333,48.0,1.1528798809875034,158.3380827075015,-92.24556495757955,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 12, ""signal"": 5, ""slow"": 26}",24.800670650051092,4.549040323931419,-16.08599703122222,0.3771826338634176,0.3353150492168879,0.2827950493278054,1.33459310449719,45.0,60.0,0.42448680978943826,158.3380827075015,-133.5374120574504,-26.008632712019917,0.9878753531217449
WMT,selected_strategy_parameter_sweep,macd_momentum,"{""fast"": 12, ""signal"": 9, ""slow"": 26}",56.985262684586814,9.47824824222787,-11.646317521081373,0.6709907042014656,0.6086760223387074,0.8138407891654156,1.8753489250603141,46.808510638297875,47.0,1.044185848091816,158.3380827075015,-101.3528200229147,-26.008632712019917,0.9878753531217449
