date,cash,position_value,equity,shares,window
2014-04-17,100000.0,0.0,100000.0,0.0,1
2014-04-21,100000.0,0.0,100000.0,0.0,1
2014-04-22,100000.0,0.0,100000.0,0.0,1
2014-04-23,100000.0,0.0,100000.0,0.0,1
2014-04-24,100000.0,0.0,100000.0,0.0,1
2014-04-25,100000.0,0.0,100000.0,0.0,1
2014-04-28,100000.0,0.0,100000.0,0.0,1
2014-04-29,100000.0,0.0,100000.0,0.0,1
2014-04-30,100000.0,0.0,100000.0,0.0,1
2014-05-01,100000.0,0.0,100000.0,0.0,1
2014-05-02,100000.0,0.0,100000.0,0.0,1
2014-05-05,100000.0,0.0,100000.0,0.0,1
2014-05-06,100000.0,0.0,100000.0,0.0,1
2014-05-07,100000.0,0.0,100000.0,0.0,1
2014-05-08,100000.0,0.0,100000.0,0.0,1
2014-05-09,100000.0,0.0,100000.0,0.0,1
2014-05-12,100000.0,0.0,100000.0,0.0,1
2014-05-13,100000.0,0.0,100000.0,0.0,1
2014-05-14,100000.0,0.0,100000.0,0.0,1
2014-05-15,100000.0,0.0,100000.0,0.0,1
2014-05-16,100000.0,0.0,100000.0,0.0,1
2014-05-19,100000.0,0.0,100000.0,0.0,1
2014-05-20,100000.0,0.0,100000.0,0.0,1
2014-05-21,100000.0,0.0,100000.0,0.0,1
2014-05-22,100000.0,0.0,100000.0,0.0,1
2014-05-23,-1.4438228390645236e-11,99850.17481269357,99850.17481269356,3655.04195124815,1
2014-05-27,-1.4438228390645236e-11,102243.91608571216,102243.91608571215,3655.04195124815,1
2014-05-28,-1.4438228390645236e-11,101472.51238776464,101472.51238776463,3655.04195124815,1
2014-05-29,-1.4438228390645236e-11,101183.44862993201,101183.448629932,3655.04195124815,1
2014-05-30,-1.4438228390645236e-11,101149.12126297351,101149.1212629735,3655.04195124815,1
2014-06-02,-1.4438228390645236e-11,100072.38943937974,100072.38943937972,3655.04195124815,1
2014-06-03,-1.4438228390645236e-11,98448.25323297737,98448.25323297735,3655.04195124815,1
2014-06-04,-1.4438228390645236e-11,98397.67544108379,98397.67544108377,3655.04195124815,1
2014-06-05,-1.4438228390645236e-11,100066.97960250733,100066.97960250732,3655.04195124815,1
2014-06-06,-1.4438228390645236e-11,100505.97113325015,100505.97113325013,3655.04195124815,1
2014-06-09,-1.4438228390645236e-11,101551.97982398726,101551.97982398725,3655.04195124815,1
2014-06-10,-1.4438228390645236e-11,101268.35378878411,101268.3537887841,3655.04195124815,1
2014-06-11,-1.4438228390645236e-11,100959.42840047528,100959.42840047527,3655.04195124815,1
2014-06-12,-1.4438228390645236e-11,99606.28598132137,99606.28598132136,3655.04195124815,1
2014-06-13,-1.4438228390645236e-11,99680.35752355009,99680.35752355008,3655.04195124815,1
2014-06-16,-1.4438228390645236e-11,98329.03465004529,98329.03465004527,3655.04195124815,1
2014-06-17,-1.4438228390645236e-11,98099.58366939834,98099.58366939833,3655.04195124815,1
2014-06-18,-1.4438228390645236e-11,99971.21991271402,99971.219912714,3655.04195124815,1
2014-06-19,-1.4438228390645236e-11,100247.63050827417,100247.63050827416,3655.04195124815,1
2014-06-20,-1.4438228390645236e-11,100511.38794156183,100511.38794156181,3655.04195124815,1
2014-06-23,-1.4438228390645236e-11,102063.2442656275,102063.24426562748,3655.04195124815,1
2014-06-24,-1.4438228390645236e-11,102003.63148844182,102003.63148844181,3655.04195124815,1
2014-06-25,-1.4438228390645236e-11,104538.2725205178,104538.27252051778,3655.04195124815,1
2014-06-26,-1.4438228390645236e-11,104059.5298430655,104059.52984306548,3655.04195124815,1
2014-06-27,-1.4438228390645236e-11,104283.54310108295,104283.54310108293,3655.04195124815,1
2014-06-30,-1.4438228390645236e-11,103929.45672919223,103929.45672919221,3655.04195124815,1
2014-07-01,-1.4438228390645236e-11,105264.53614920123,105264.53614920122,3655.04195124815,1
2014-07-02,-1.4438228390645236e-11,105204.01011347136,105204.01011347135,3655.04195124815,1
2014-07-03,-1.4438228390645236e-11,105636.68552023686,105636.68552023685,3655.04195124815,1
2014-07-07,-1.4438228390645236e-11,105188.6450613234,105188.64506132339,3655.04195124815,1
2014-07-08,-1.4438228390645236e-11,103172.49785340921,103172.4978534092,3655.04195124815,1
2014-07-09,-1.4438228390645236e-11,104073.98860810853,104073.98860810851,3655.04195124815,1
2014-07-10,-1.4438228390645236e-11,103174.30345617977,103174.30345617975,3655.04195124815,1
2014-07-11,-1.4438228390645236e-11,104634.03221031108,104634.03221031107,3655.04195124815,1
2014-07-14,-1.4438228390645236e-11,105661.96395902475,105661.96395902474,3655.04195124815,1
2014-07-15,-1.4438228390645236e-11,105645.72050552894,105645.72050552892,3655.04195124815,1
2014-07-16,-1.4438228390645236e-11,105262.7235749914,105262.72357499138,3655.04195124815,1
2014-07-17,-1.4438228390645236e-11,103649.44887096949,103649.44887096947,3655.04195124815,1
2014-07-18,-1.4438228390645236e-11,107506.5091893427,107506.50918934269,3655.04195124815,1
2014-07-21,-1.4438228390645236e-11,106493.00831991501,106493.008319915,3655.04195124815,1
2014-07-22,-1.4438228390645236e-11,107445.0838379472,107445.08383794718,3655.04195124815,1
2014-07-23,-1.4438228390645236e-11,107669.09012452539,107669.09012452538,3655.04195124815,1
2014-07-24,-1.4438228390645236e-11,107193.95865261421,107193.9586526142,3655.04195124815,1
2014-07-25,-1.4438228390645236e-11,106411.71436660404,106411.71436660402,3655.04195124815,1
2014-07-28,-1.4438228390645236e-11,106697.15297601701,106697.152976017,3655.04195124815,1
2014-07-29,-1.4438228390645236e-11,105795.66222131767,105795.66222131766,3655.04195124815,1
2014-07-30,-1.4438228390645236e-11,106122.66455164996,106122.66455164994,3655.04195124815,1
2014-07-31,-1.4438228390645236e-11,103264.62542334356,103264.62542334355,3655.04195124815,1
2014-08-01,-1.4438228390645236e-11,102265.59726183747,102265.59726183745,3655.04195124815,1
2014-08-04,-1.4438228390645236e-11,103544.66116732337,103544.66116732336,3655.04195124815,1
2014-08-05,-1.4438228390645236e-11,102084.9254417528,102084.92544175278,3655.04195124815,1
2014-08-06,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-07,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-08,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-11,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-12,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-13,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-14,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-15,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-18,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-19,102167.08168227832,0.0,102167.08168227832,0.0,1
2014-08-20,-1.4935608305677306e-11,102014.00966078234,102014.00966078232,3531.1461853969527,1
2014-08-21,-1.4935608305677306e-11,101818.53607424446,101818.53607424445,3531.1461853969527,1
2014-08-22,-1.4935608305677306e-11,101677.15229143071,101677.1522914307,3531.1461853969527,1
2014-08-25,-1.4935608305677306e-11,101265.23866847406,101265.23866847405,3531.1461853969527,1
2014-08-26,-1.4935608305677306e-11,100856.8407817326,100856.84078173258,3531.1461853969527,1
2014-08-27,-1.4935608305677306e-11,99659.53054666294,99659.53054666292,3531.1461853969527,1
2014-08-28,99196.38872159038,0.0,99196.38872159038,0.0,1
2014-08-29,99196.38872159038,0.0,99196.38872159038,0.0,1
2014-09-02,99196.38872159038,0.0,99196.38872159038,0.0,1
2014-09-03,99196.38872159038,0.0,99196.38872159038,0.0,1
2014-09-04,-7.389644451905042e-12,99047.76754638704,99047.76754638703,3443.258810180475,1
2014-09-05,-7.389644451905042e-12,99745.56388843888,99745.56388843886,3443.258810180475,1
2014-09-08,-7.389644451905042e-12,100365.0559877963,100365.05598779628,3443.258810180475,1
2014-09-09,-7.389644451905042e-12,98882.70012745877,98882.70012745875,3443.258810180475,1
2014-09-10,-7.389644451905042e-12,99238.39565579314,99238.39565579312,3443.258810180475,1
2014-09-11,-7.389644451905042e-12,98940.55975826795,98940.55975826793,3443.258810180475,1
2014-09-12,-7.389644451905042e-12,97965.36556308118,97965.36556308117,3443.258810180475,1
2014-09-15,-7.389644451905042e-12,97536.47530314994,97536.47530314993,3443.258810180475,1
2014-09-16,-7.389644451905042e-12,98702.2910402478,98702.29104024779,3443.258810180475,1
2014-09-17,-7.389644451905042e-12,99522.60400122649,99522.60400122647,3443.258810180475,1
2014-09-18,-7.389644451905042e-12,100288.47242878767,100288.47242878766,3443.258810180475,1
2014-09-19,-7.389644451905042e-12,101447.47110609213,101447.47110609211,3443.258810180475,1
2014-09-22,-7.389644451905042e-12,99965.10211076461,99965.1021107646,3443.258810180475,1
2014-09-23,-7.389644451905042e-12,98903.12503685906,98903.12503685904,3443.258810180475,1
2014-09-24,-7.389644451905042e-12,100070.62862016782,100070.6286201678,3443.258810180475,1
2014-09-25,-7.389644451905042e-12,97870.05150837815,97870.05150837814,3443.258810180475,1
2014-09-26,-7.389644451905042e-12,98217.24869820321,98217.2486982032,3443.258810180475,1
2014-09-29,-7.389644451905042e-12,98091.31698188467,98091.31698188465,3443.258810180475,1
2014-09-30,-7.389644451905042e-12,98261.49391191053,98261.49391191051,3443.258810180475,1
2014-10-01,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-02,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-03,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-06,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-07,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-08,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-09,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-10,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-13,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-14,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-15,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-16,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-17,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-20,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-21,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-22,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-23,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-24,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-27,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-28,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-29,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-30,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-10-31,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-03,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-04,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-05,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-06,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-07,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-10,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-11,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-12,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-13,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-14,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-17,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-18,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-19,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-20,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-21,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-24,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-25,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-26,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-11-28,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-01,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-02,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-03,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-04,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-05,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-08,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-09,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-10,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-11,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-12,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-15,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-16,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-17,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-18,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-19,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-22,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-23,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-24,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-26,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-29,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-30,96569.43146851259,0.0,96569.43146851259,0.0,1
2014-12-31,96569.43146851259,0.0,96569.43146851259,0.0,1
2015-01-02,96569.43146851259,0.0,96569.43146851259,0.0,1
2015-01-05,100000.0,0.0,96569.43146851259,0.0,2
2015-01-06,100000.0,0.0,96569.43146851259,0.0,2
2015-01-07,100000.0,0.0,96569.43146851259,0.0,2
2015-01-08,100000.0,0.0,96569.43146851259,0.0,2
2015-01-09,100000.0,0.0,96569.43146851259,0.0,2
2015-01-12,100000.0,0.0,96569.43146851259,0.0,2
2015-01-13,100000.0,0.0,96569.43146851259,0.0,2
2015-01-14,100000.0,0.0,96569.43146851259,0.0,2
2015-01-15,100000.0,0.0,96569.43146851259,0.0,2
2015-01-16,100000.0,0.0,96569.43146851259,0.0,2
2015-01-20,100000.0,0.0,96569.43146851259,0.0,2
2015-01-21,100000.0,0.0,96569.43146851259,0.0,2
2015-01-22,-1.4438228390645236e-11,99850.17481269357,96424.74613693412,3780.2759821032755,2
2015-01-23,-1.4438228390645236e-11,100889.05707650541,97427.98883272443,3780.2759821032755,2
2015-01-26,-1.4438228390645236e-11,100003.3937774986,96572.70882014827,3780.2759821032755,2
2015-01-27,-1.4438228390645236e-11,96905.44330492135,93581.03566160433,3780.2759821032755,2
2015-01-28,-1.4438228390645236e-11,95292.94528840066,92023.85549460925,3780.2759821032755,2
2015-01-29,-1.4438228390645236e-11,95416.25591127574,92142.93586206,3780.2759821032755,2
2015-01-30,-1.4438228390645236e-11,99874.47353793558,96448.21127775442,3780.2759821032755,2
2015-02-02,-1.4438228390645236e-11,98745.90229985505,95358.3564494229,3780.2759821032755,2
2015-02-03,-1.4438228390645236e-11,98887.88761067578,95495.47085685127,3780.2759821032755,2
2015-02-04,-1.4438228390645236e-11,97677.12611472172,94326.24536376879,3780.2759821032755,2
2015-02-05,-1.4438228390645236e-11,98577.73637438931,95195.95957127686,3780.2759821032755,2
2015-02-06,-1.4438228390645236e-11,99216.75679673327,95813.05796010213,3780.2759821032755,2
2015-02-09,-1.4438228390645236e-11,98624.43751486186,95241.05859712053,3780.2759821032755,2
2015-02-10,-1.4438228390645236e-11,100326.64613656394,96884.87178550623,3780.2759821032755,2
2015-02-11,-1.4438228390645236e-11,100145.39350892778,96709.83715347626,3780.2759821032755,2
2015-02-12,-1.4438228390645236e-11,101445.8656100632,97965.69566794935,3780.2759821032755,2
2015-02-13,-1.4438228390645236e-11,102581.906723322,99062.76411227194,3780.2759821032755,2
2015-02-17,-1.4438228390645236e-11,101429.0511806079,97949.45806901967,3780.2759821032755,2
2015-02-18,-1.4438228390645236e-11,100842.34872572863,97382.88284393097,3780.2759821032755,2
2015-02-19,-1.4438228390645236e-11,101434.6535869916,97954.86828101297,3780.2759821032755,2
2015-02-20,-1.4438228390645236e-11,100702.20925278978,97247.55095165095,3780.2759821032755,2
2015-02-23,-1.4438228390645236e-11,99386.78298068939,95977.25127929615,3780.2759821032755,2
2015-02-24,-1.4438228390645236e-11,100167.81755507099,96731.491927349,3780.2759821032755,2
2015-02-25,-1.4438228390645236e-11,101621.52304161992,98135.32705093587,3780.2759821032755,2
2015-02-26,-1.4438228390645236e-11,103790.82238139417,100230.20709020607,3780.2759821032755,2
2015-02-27,-1.4438228390645236e-11,104336.41889188036,100757.08653849461,3780.2759821032755,2
2015-03-02,-1.4438228390645236e-11,106754.22857711204,103091.95160551349,3780.2759821032755,2
2015-03-03,-1.4438228390645236e-11,107184.00597081405,103506.98519119169,3780.2759821032755,2
2015-03-04,-1.4438228390645236e-11,107133.54826183969,103458.25846850312,3780.2759821032755,2
2015-03-05,-1.4438228390645236e-11,107499.77403409268,103811.92061465901,3780.2759821032755,2
2015-03-06,-1.4438228390645236e-11,106071.29740203098,102432.44885241646,3780.2759821032755,2
2015-03-09,-1.4438228390645236e-11,106288.99090722595,102642.6742327271,3780.2759821032755,2
2015-03-10,-1.4438228390645236e-11,103703.00808622428,100145.4053246124,3780.2759821032755,2
2015-03-11,-1.4438228390645236e-11,102987.37097117356,99454.31863123026,3780.2759821032755,2
2015-03-12,-1.4438228390645236e-11,103796.4319980821,100235.62426514915,3780.2759821032755,2
2015-03-13,-1.4438228390645236e-11,102266.12423943491,98757.814762905,3780.2759821032755,2
2015-03-16,-1.4438228390645236e-11,103609.58417436646,100055.18638407567,3780.2759821032755,2
2015-03-17,-1.4438228390645236e-11,102923.84819094145,99392.97504350713,3780.2759821032755,2
2015-03-18,-1.4438228390645236e-11,104541.95582415008,100955.5723854453,3780.2759821032755,2
2015-03-19,-1.4438228390645236e-11,104259.81661978207,100683.11215983733,3780.2759821032755,2
2015-03-20,-1.4438228390645236e-11,104702.64466413336,101110.7486846505,3780.2759821032755,2
2015-03-23,-1.4438228390645236e-11,104413.02116397863,100831.06091715187,3780.2759821032755,2
2015-03-24,-1.4438228390645236e-11,106539.3687214779,102884.46266447353,3780.2759821032755,2
2015-03-25,-1.4438228390645236e-11,104408.36330744856,100826.56285158216,3780.2759821032755,2
2015-03-26,-1.4438228390645236e-11,103732.90200754577,100174.2737144762,3780.2759821032755,2
2015-03-27,-1.4438228390645236e-11,102456.72142134813,98941.87337787362,3780.2759821032755,2
2015-03-30,-1.4438228390645236e-11,103146.1995526665,99607.69848938749,3780.2759821032755,2
2015-03-31,-1.4438228390645236e-11,102393.1914308118,98880.52282720068,3780.2759821032755,2
2015-04-01,-1.4438228390645236e-11,101376.74042344741,97898.94186823293,3780.2759821032755,2
2015-04-02,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-06,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-07,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-08,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-09,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-10,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-13,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-14,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-15,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-16,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-17,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-20,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-21,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-22,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-23,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-24,99913.13687930215,0.0,96485.54824669888,0.0,2
2015-04-27,-1.3926637620897964e-11,99763.44183482902,96340.98859331461,3624.359611793687,2
2015-04-28,-1.3926637620897964e-11,99459.86106938728,96047.82237407975,3624.359611793687,2
2015-04-29,-1.3926637620897964e-11,98633.5462326622,95249.85483411439,3624.359611793687,2
2015-04-30,-1.3926637620897964e-11,96524.65018825253,93213.30591376602,3624.359611793687,2
2015-05-01,-1.3926637620897964e-11,96625.24004861784,93310.44497003577,3624.359611793687,2
2015-05-04,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-05,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-06,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-07,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-08,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-11,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-12,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-13,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-14,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-15,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-18,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-19,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-20,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-21,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-22,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-26,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-27,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-28,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-05-29,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-01,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-02,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-03,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-04,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-05,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-08,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-09,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-10,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-11,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-12,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-15,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-16,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-17,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-18,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-19,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-22,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-23,96996.90984004093,0.0,93669.36437455326,0.0,2
2015-06-24,-4.902744876744691e-12,96851.58403819164,93529.02407393036,3633.25489078048,2
2015-06-25,-4.902744876744691e-12,96381.5854625948,93075.14912156637,3633.25489078048,2
2015-06-26,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-06-29,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-06-30,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-01,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-02,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-06,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-07,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-08,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-09,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-10,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-13,95600.54408992233,0.0,92320.90190844271,0.0,2
2015-07-14,-1.6498802324349526e-11,95457.31039567364,92182.5819442354,3432.505338879905,2
2015-07-15,-1.6498802324349526e-11,95307.59395720948,92038.00163079564,3432.505338879905,2
2015-07-16,-1.6498802324349526e-11,98647.17140000925,95263.01258075806,3432.505338879905,2
2015-07-17,-1.6498802324349526e-11,114482.44104801357,110555.04245134177,3432.505338879905,2
2015-07-20,-1.6498802324349526e-11,112796.48782221593,108926.92700636394,3432.505338879905,2
