symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca
TSLA,A_100pct_monthly_dca,plain_dca,{},963313.8692823903,610000.0,353313.86928239034,57.92030643973612,18.383710350705826,-56.30459836516029,1.509813024372704,0.0,963313.8692823903,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0
TSLA,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",925588.3712141853,610000.0,315588.37121418526,51.73579855970251,16.747943124506104,-51.03200944723228,1.5813383876425708,20000.0,905588.3712141853,47.27854154684726,61.0,12.0,0.0,589.4105894105894,0.0,1.0,-37725.49806820508,-37725.49806820508,-1.6357672261997216
TSLA,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",947885.5104701633,610000.0,337885.5104701633,55.39106729019071,17.721862130993905,-51.3414807637683,1.5664218126386458,12000.0,935885.5104701633,19.768774147098558,61.0,70.0,0.0,597.4025974025972,0.6,0.4,-15428.35881222703,-15428.35881222703,-0.6618482197119206
TSLA,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",930328.3352354829,610000.0,320328.3352354829,52.51284184188244,16.956743515747537,-51.03200944723228,1.5812480884698459,20000.0,910328.3352354829,47.085159312986995,61.0,13.0,0.0,589.4105894105894,0.0,1.0,-32985.53404690744,-32985.53404690744,-1.4269668349582894
TSLA,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",947885.5104701633,610000.0,337885.5104701633,55.39106729019071,17.721862130993905,-51.3414807637683,1.5664218126386458,12000.0,935885.5104701633,19.768774147098558,61.0,70.0,0.0,597.4025974025972,0.6,0.4,-15428.35881222703,-15428.35881222703,-0.6618482197119206
TSLA,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",928454.5912836278,610000.0,318454.5912836278,52.205670702234066,16.874318478980165,-51.025138943575364,1.580275819185626,20000.0,908454.5912836278,47.007916318052516,61.0,14.0,0.0,589.4105894105894,0.0,1.0,-34859.277998762554,-34859.277998762554,-1.5093918717256614
TSLA,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",947885.5104701633,610000.0,337885.5104701633,55.39106729019071,17.721862130993905,-51.3414807637683,1.5664218126386458,12000.0,935885.5104701633,19.768774147098558,61.0,70.0,0.0,597.4025974025972,0.6,0.4,-15428.35881222703,-15428.35881222703,-0.6618482197119206
TSLA,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",900364.6799308939,610000.0,290364.67993089394,47.60076720178589,15.620246286916629,-51.09964112705985,1.5617469614578472,20000.0,880364.6799308939,44.79377801316041,61.0,18.0,0.0,589.4105894105893,0.0,1.0,-62949.1893514964,-62949.1893514964,-2.763464063789197
TSLA,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",936473.0254153307,610000.0,326473.02541533066,53.520168100873875,17.225995204395318,-51.36720422752886,1.5581734909413585,12000.0,924473.0254153307,18.71677551730027,61.0,75.0,0.0,597.402597402597,0.6,0.4,-26840.84386705968,-26840.84386705968,-1.1577151463105082
TSLA,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",911632.6208063654,610000.0,301632.6208063654,49.44797062399432,16.12750537332647,-51.12234696064688,1.5601205261244768,20000.0,891632.6208063654,44.02277703192565,61.0,22.0,0.0,589.4105894105893,0.0,1.0,-51681.24847602495,-51681.24847602495,-2.2562049773793547
TSLA,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",936473.0254153307,610000.0,326473.02541533066,53.520168100873875,17.225995204395318,-51.36720422752886,1.5581734909413585,12000.0,924473.0254153307,18.71677551730027,61.0,75.0,0.0,597.402597402597,0.6,0.4,-26840.84386705968,-26840.84386705968,-1.1577151463105082
TSLA,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",911623.82843262,610000.0,301623.82843262004,49.44652925124919,16.12711178078288,-51.122315279330486,1.559903566940719,20000.0,891623.82843262,43.984403213069314,61.0,22.0,0.0,589.4105894105893,0.0,1.0,-51690.0408497703,-51690.0408497703,-2.2565985699229465
