,date,action,price,shares,cash_after,technical_state,commission
0,2022-02-23,reserve_buy,254.67999267578125,352.85519049714475,0.0,1,89.91008991008992
1,2022-04-26,reserve_buy,292.1400146484375,68.35775299926213,0.0,1,19.980019980019982
2,2022-05-02,reserve_buy,300.9800109863281,33.17501866169751,0.0,1,9.990009990009991
3,2023-04-20,reserve_buy,162.99000549316406,673.8768549742119,0.0,1,109.89010989010991
4,2023-05-01,reserve_buy,161.8300018310547,61.70065728413816,0.0,1,9.990009990009991
5,2023-10-19,reserve_buy,220.11000061035156,226.81880545139964,0.0,1,49.95004995004996
6,2023-11-01,reserve_buy,205.66000366210935,48.55109065190097,0.0,1,9.990009990009991
7,2024-07-24,reserve_buy,215.9900054931641,369.8325747423669,0.0,1,79.92007992007993
8,2024-08-01,reserve_buy,216.86000061035156,46.04361086953134,0.0,1,9.990009990009991
9,2024-10-11,reserve_buy,217.8000030517578,91.68978274896098,0.0,1,19.980019980019982
10,2025-06-05,reserve_buy,284.70001220703125,280.5765241487476,0.0,1,79.92007992007993
11,2025-11-13,reserve_buy,401.989990234375,124.1948521584794,0.0,1,49.95004995004996
12,2026-03-19,reserve_buy,380.2999877929687,105.02253801496407,0.0,1,39.960039960039964
