symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca
AMD,A_100pct_monthly_dca,plain_dca,{},2632357.2031122656,610000.0,2022357.2031122656,331.53396772332223,62.2013212523284,-52.519342852934926,1.8275614988275213,0.0,2632357.2031122656,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",2590480.1763324663,610000.0,1980480.1763324663,324.66888136597805,61.45370138457369,-47.79898074865186,1.8667173743524381,30000.0,2560480.1763324663,40.54794239706204,61.0,14.0,0.0,579.4205794205793,0.0,1.0,-41877.02677979926,-41877.02677979926,-0.7476198677547075
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",2609926.8825906403,610000.0,1999926.8825906403,327.8568659984656,61.80214208968311,-50.27968716686926,1.8847647175533648,12000.0,2597926.8825906403,17.07180185724597,61.0,73.0,0.0,597.4025974025972,0.6,0.4,-22430.320521625225,-22430.320521625225,-0.3991791626452894
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",2596830.955047817,610000.0,1986830.955047817,325.70999263078966,61.567735893289566,-47.79898074865186,1.866741783351101,30000.0,2566830.955047817,40.52168127615602,61.0,15.0,0.0,579.4205794205793,0.0,1.0,-35526.24806444859,-35526.24806444859,-0.6335853590388325
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",2609926.8825906403,610000.0,1999926.8825906403,327.8568659984656,61.80214208968311,-50.27968716686926,1.8847647175533648,12000.0,2597926.8825906403,17.07180185724597,61.0,73.0,0.0,597.4025974025972,0.6,0.4,-22430.320521625225,-22430.320521625225,-0.3991791626452894
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",2611023.3567716605,610000.0,2001023.3567716605,328.0366158642066,61.82172282110419,-48.13111009208328,1.8673225896932046,30000.0,2581023.3567716605,40.334312469446225,61.0,16.0,0.0,579.4205794205793,0.0,1.0,-21333.846340605058,-21333.846340605058,-0.3795984312242098
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",2609926.8825906403,610000.0,1999926.8825906403,327.8568659984656,61.80214208968311,-50.27968716686926,1.8847647175533648,12000.0,2597926.8825906403,17.07180185724597,61.0,73.0,0.0,597.4025974025972,0.6,0.4,-22430.320521625225,-22430.320521625225,-0.3991791626452894
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",2521918.6577188456,610000.0,1911918.6577188456,313.42928815063044,60.20727657914029,-47.68454324936789,1.8572038781523093,30000.0,2491918.6577188456,39.80942858301272,61.0,19.0,0.0,579.4205794205793,0.0,1.0,-110438.54539341992,-110438.54539341992,-1.9940446731881067
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",2592968.831831495,610000.0,1982968.8318314948,325.07685767729424,61.498415853350366,-50.39247236971421,1.8815807019465156,12000.0,2580968.831831495,16.699092261373416,61.0,79.0,0.0,597.402597402597,0.6,0.4,-39388.37128077075,-39388.37128077075,-0.7029053989780323
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",2530213.684689311,610000.0,1920213.6846893108,314.78912863759194,60.35959462414879,-47.68454324936789,1.8574822884410076,30000.0,2500213.684689311,39.783185015987435,61.0,20.0,0.0,579.4205794205793,0.0,1.0,-102143.51842295472,-102143.51842295472,-1.8417266281796074
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",2592968.831831495,610000.0,1982968.8318314948,325.07685767729424,61.498415853350366,-50.39247236971421,1.8815807019465156,12000.0,2580968.831831495,16.699092261373416,61.0,79.0,0.0,597.402597402597,0.6,0.4,-39388.37128077075,-39388.37128077075,-0.7029053989780323
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",2542923.7896436686,610000.0,1932923.7896436686,316.8727524006014,60.5921649799076,-47.94202202979878,1.8578653100952953,30000.0,2512923.7896436686,39.58766621445384,61.0,21.0,0.0,579.4205794205793,0.0,1.0,-89433.41346859699,-89433.41346859699,-1.6091562724207975
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",2592968.831831495,610000.0,1982968.8318314948,325.07685767729424,61.498415853350366,-50.39247236971421,1.8815807019465156,12000.0,2580968.831831495,16.699092261373416,61.0,79.0,0.0,597.402597402597,0.6,0.4,-39388.37128077075,-39388.37128077075,-0.7029053989780323
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",2464295.8603069885,610000.0,1854295.8603069885,303.98292791917845,59.1372755372481,-48.0586712190503,1.848817006454213,0.0,2464295.8603069885,39.460331137467506,61.0,22.0,0.0,609.3906093906093,0.0,1.0,-168061.3428052771,-168061.3428052771,-3.0640457150802973
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",2566797.542733696,610000.0,1956797.5427336958,320.78648241536,61.02635607356432,-50.55030308689239,1.8777007462430628,0.0,2566797.542733696,16.518541504970667,61.0,82.0,0.0,609.390609390609,0.6,0.4,-65559.66037856974,-65559.66037856974,-1.1749651787640758
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 60, ""rsi_window"": 10}",2486268.3430983145,610000.0,1876268.3430983145,307.58497427841223,59.54776491156635,-48.0586712190503,1.8503112732143152,0.0,2486268.3430983145,39.411195057728236,61.0,24.0,0.0,609.3906093906093,0.0,1.0,-146088.86001395108,-146088.86001395108,-2.6535563407620515
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 60, ""rsi_window"": 10}",2566797.542733696,610000.0,1956797.5427336958,320.78648241536,61.02635607356432,-50.55030308689239,1.8777007462430628,0.0,2566797.542733696,16.518541504970667,61.0,82.0,0.0,609.390609390609,0.6,0.4,-65559.66037856974,-65559.66037856974,-1.1749651787640758
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 10}",2497977.6982710836,610000.0,1887977.6982710836,309.50454070017764,59.765262034410206,-48.1724029397389,1.8509289669053623,0.0,2497977.6982710836,39.260535781615935,61.0,25.0,0.0,609.3906093906093,0.0,1.0,-134379.50484118192,-134379.50484118192,-2.436059217918192
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 10}",2566797.542733696,610000.0,1956797.5427336958,320.78648241536,61.02635607356432,-50.55030308689239,1.8777007462430628,0.0,2566797.542733696,16.518541504970667,61.0,82.0,0.0,609.390609390609,0.6,0.4,-65559.66037856974,-65559.66037856974,-1.1749651787640758
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 14}",2539100.3429862177,610000.0,1929100.3429862177,316.2459578665931,60.52230719410932,-46.42705400317455,1.8837843170560562,30000.0,2509100.3429862177,43.254216704966694,61.0,8.0,0.0,579.4205794205794,0.0,1.0,-93256.86012604786,-93256.86012604786,-1.6790140582190816
AMD,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 14}",2583979.2450594106,610000.0,1973979.2450594106,323.6031549277722,61.33672507550477,-49.88512104015443,1.8912859918704887,16000.0,2567979.2450594106,18.051414525948093,61.0,67.0,0.0,593.4065934065932,0.6,0.4,-48377.958052854985,-48377.958052854985,-0.8645961768236248
AMD,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 14}",2554517.9592783344,610000.0,1944517.9592783344,318.77343594726796,60.80345750219642,-46.7840893963027,1.8844046607032747,30000.0,2524517.9592783344,43.05320829449202,61.0,9.0,0.0,579.4205794205794,0.0,1.0,-77839.24383393116,-77839.24383393116,-1.3978637501319753
