strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
supertrend,"{'atr_window': 10, 'multiplier': 3.5}",111.02935223018204,0.3331922299073671,-0.5743261495844881,1.0445484063285535,1.3114726154417025,0.5801446271398648,42.0,0.47619047619047616,0.18711027046389628,5.236495214059487
ema_cross,"{'fast_window': 20, 'slow_window': 60}",106.19660614377625,0.3296142595519058,-0.5753911662417488,0.9682353105700502,1.250193091415038,0.5728524852142401,32.0,0.40625,0.23870225154052924,6.441663829740386
supertrend,"{'atr_window': 7, 'multiplier': 3.5}",91.56556064802903,0.3177761966035004,-0.5522184184890082,1.0123669758935094,1.2546298784177357,0.5754538167578808,43.0,0.4883720930232558,0.17574453987304972,5.166293223748104
ema_cross,"{'fast_window': 15, 'slow_window': 60}",87.30160106396329,0.3139943267436951,-0.6024692357767616,0.9374190741199849,1.204400095332409,0.521179021429805,42.0,0.35714285714285715,0.1821507935393944,5.136348087331441
ema_cross,"{'fast_window': 5, 'slow_window': 50}",86.24030162807146,0.3130263811948273,-0.6492327105117672,0.9523629246560363,1.2412597788978044,0.4821481975978685,78.0,0.2948717948717949,0.09749408690876693,3.9937603748222332
ema_cross,"{'fast_window': 5, 'slow_window': 60}",80.33372352718261,0.30742849368029956,-0.689827457667991,0.9358298058879817,1.224636964229203,0.4456599839031961,69.0,0.2753623188405797,0.11024639921765927,3.946182578089202
supertrend,"{'atr_window': 14, 'multiplier': 3.5}",69.51005003077898,0.29609929006151514,-0.5623371868607093,0.9639304785245411,1.2206884659656074,0.5265511457894368,45.0,0.4666666666666667,0.157984039982448,4.4260592520204085
ema_cross,"{'fast_window': 20, 'slow_window': 50}",66.73958701452821,0.2929369436496685,-0.6020663106972675,0.8947828403168979,1.1378985598992135,0.4865526245944756,37.0,0.3783783783783784,0.20316575783982638,4.602105074236738
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.0, 'trend_window': 100}",64.81417459644734,0.29066682498516316,-0.588265946581233,0.9481654984159577,1.1798805641679626,0.4941078549156258,50.0,0.26,0.1415679882289247,5.0515864256669865
supertrend,"{'atr_window': 7, 'multiplier': 3.0}",63.92082056083726,0.28959227449059344,-0.5604522226994695,0.9509497768560822,1.1576792726715863,0.5167117958703878,58.0,0.5,0.11959901161440743,4.139309368552241
ema_cross,"{'fast_window': 10, 'slow_window': 50}",60.91470260711371,0.2858715575477573,-0.6630936160838506,0.8871589819926211,1.1522447037429329,0.43111794566215184,60.0,0.31666666666666665,0.11991179342622926,3.8243371738632193
ema_cross,"{'fast_window': 10, 'slow_window': 20}",60.58043272815269,0.2854473978229075,-0.633184698432314,0.9023225153824918,1.1480082320916611,0.45081221724030845,87.0,0.3563218390804598,0.07763901026226311,3.120362734476644
ema_cross,"{'fast_window': 5, 'slow_window': 30}",59.63738447204058,0.28423899110307316,-0.6235492454578451,0.8970884367001936,1.1512824896387326,0.45584048601384936,100.0,0.33,0.06999705733580835,3.0259126723464123
supertrend,"{'atr_window': 10, 'multiplier': 2.0}",58.23320748290085,0.28240659261894274,-0.6561382276852523,0.9492501672780264,1.160635219445396,0.4304071622457157,108.0,0.42592592592592593,0.05698516638815992,2.937459768511145
ema_cross,"{'fast_window': 15, 'slow_window': 50}",57.695601723993214,0.2816942201619659,-0.5909223278755682,0.8743079226726805,1.1076191195818121,0.4767026170337616,47.0,0.3404255319148936,0.15354277606421876,4.246732628810613
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.0, 'trend_window': 100}",55.92401011111397,0.27930255689847727,-0.52421173125177,0.9319595099776978,1.1248429473006412,0.5328048577461785,42.0,0.30952380952380953,0.15710063291881482,5.657063044376768
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.5, 'trend_window': 100}",55.67349566259645,0.2789587341472888,-0.489411073943152,0.9770795032698351,1.1140761478157581,0.5699886026275154,33.0,0.36363636363636365,0.1914652296041261,6.817779283524997
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.2, 'trend_window': 100}",54.11084784978287,0.2767812750129195,-0.5027944924081892,0.9428891330738147,1.109185371235081,0.5504858927297419,35.0,0.34285714285714286,0.18644147682791334,6.190597584039134
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.2, 'trend_window': 100}",53.991124757969786,0.2766120651231203,-0.5813997834097082,0.9347228110449219,1.1232692571029153,0.47576912309957603,43.0,0.27906976744186046,0.15671653039437541,5.282900827131785
donchian_breakout,"{'entry_window': 10, 'exit_window': 20}",53.89728974207745,0.27647920198780573,-0.6123385871541493,0.8439439940315977,1.1256230265552634,0.4515136034015854,63.0,0.42857142857142855,0.10373686594506419,3.2029486788807833
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.5, 'trend_window': 100}",52.708295610231275,0.27477694968817734,-0.4700489040168069,0.9717273763595942,1.0901915126288488,0.584570982593659,29.0,0.41379310344827586,0.21238285930424772,7.513000803331985
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.5, 'trend_window': 100}",51.56107318647731,0.27310061814366127,-0.44206805577892705,0.9740971041563986,1.0693836056033674,0.6177795807083505,24.0,0.5,0.24510401367381587,7.953915496471029
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.2, 'trend_window': 100}",49.69599838249729,0.2703005834590799,-0.5187398894026141,0.9358775551075986,1.0756452840316664,0.5210715215488069,29.0,0.41379310344827586,0.2099976009760777,6.3646323061385175
supertrend,"{'atr_window': 10, 'multiplier': 3.0}",46.75434670686134,0.2656813066075794,-0.5883314872058353,0.889454573600908,1.078485989339626,0.45158437443044314,63.0,0.4444444444444444,0.10674794336179681,3.61068937583353
donchian_breakout,"{'entry_window': 20, 'exit_window': 20}",43.109954918648015,0.2595727931306233,-0.5873596476930174,0.8491082667055027,1.0530801706391406,0.4419316072361318,49.0,0.5102040816326531,0.12055859226867735,3.677487545911654
ema_cross,"{'fast_window': 10, 'slow_window': 60}",42.87992533134937,0.25917150060957383,-0.7320634300389344,0.8213233934728819,1.0504114466174288,0.35402874938827356,58.0,0.27586206896551724,0.11894673789000162,3.5970933044084794
ema_cross,"{'fast_window': 15, 'slow_window': 30}",42.802260880581784,0.25903556680129536,-0.6496254792185575,0.8342654066737558,1.0711216635301077,0.3987460084122508,62.0,0.3064516129032258,0.10852544141850239,3.362775884901601
ema_cross,"{'fast_window': 10, 'slow_window': 30}",41.64826590376684,0.2569886423301506,-0.6825367623119478,0.8291085723619173,1.0593956295968254,0.37651985434404495,74.0,0.32432432432432434,0.09315261821726098,3.1533236815506234
supertrend,"{'atr_window': 7, 'multiplier': 2.0}",41.61254171517834,0.25692444924581515,-0.7018337404677294,0.8873854113325766,1.083888695242875,0.36607594424655426,110.0,0.4,0.05269035466293207,2.733041228307165
ema_cross,"{'fast_window': 20, 'slow_window': 30}",40.247589276445844,0.25443310481793624,-0.6703981789742609,0.8251482583626675,1.0548492079506926,0.3795253519441688,55.0,0.34545454545454546,0.12218090222811528,3.551004756797795
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.0, 'trend_window': 100}",40.08077601016894,0.2541233410697561,-0.5746842495724513,0.8878373227877454,1.035876978631574,0.4421964605064722,36.0,0.3333333333333333,0.1641794345580147,5.0617860691371135
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.2, 'trend_window': 75}",39.376607070640354,0.25280258164814495,-0.49110337426070205,0.9019685994550906,1.0437311293047062,0.514764497451701,41.0,0.36585365853658536,0.14442770768482197,5.394495294104948
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.0, 'trend_window': 75}",39.33133216715864,0.252716924396597,-0.6069986268067054,0.8708531926906443,1.072082521578677,0.4163385438383751,61.0,0.29508196721311475,0.1033073380040709,3.9794918724125856
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.5, 'trend_window': 75}",37.25531267331642,0.24868889582243736,-0.48223659050470935,0.917389372168361,1.0290705956768949,0.5156989343387637,39.0,0.358974358974359,0.1440785408763876,5.615813179658278
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 150, 'atr_stop_multiplier': 2.5}",36.94720851702884,0.24807367242176293,-0.4715340154252712,0.882820131444204,0.9774480108867952,0.5260992087665788,58.0,0.25862068965517243,0.0975630996137906,4.736483406685668
ema_cross,"{'fast_window': 5, 'slow_window': 20}",36.94355127120691,0.24806634148925766,-0.6359748608632467,0.8221353251417324,1.0518782159966862,0.3900568351908476,132.0,0.32575757575757575,0.04505600353697205,2.48489149183009
