strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
ema_cross,"{'fast_window': 10, 'slow_window': 60}",8.85907814058362,0.14965500196654746,-0.28396570268671395,0.766433574537241,0.9072733333596672,0.5270178776894575,41.0,0.4878048780487805,0.06715573288185782,4.088011102187513
ema_cross,"{'fast_window': 10, 'slow_window': 50}",7.568654646005905,0.13986823642440038,-0.32410122045082623,0.7297871986883437,0.854896438017779,0.4315572654427004,47.0,0.44680851063829785,0.05524696002381843,3.45682839795063
ema_cross,"{'fast_window': 15, 'slow_window': 60}",6.843828508438016,0.13374497644381855,-0.31717536338732844,0.7045156137749692,0.8220376150640823,0.4216751736814179,36.0,0.5,0.07116588898305212,3.6941417844867463
ema_cross,"{'fast_window': 5, 'slow_window': 60}",6.699801278090597,0.1324652128133299,-0.2953334035218951,0.6975919896965891,0.8284830140703779,0.44852770202646364,64.0,0.359375,0.03869986697447446,3.0241265362950016
ema_cross,"{'fast_window': 5, 'slow_window': 50}",6.632243743213667,0.13185716211235587,-0.4514192792397729,0.6922771637964438,0.8233886052935857,0.29209466271448165,67.0,0.373134328358209,0.03750128362278908,2.754014725570125
ema_cross,"{'fast_window': 20, 'slow_window': 30}",6.490242779375331,0.1305624327894641,-0.3977425874909857,0.6961574566681175,0.8112104170520226,0.3282586197597539,40.0,0.525,0.0614310056911531,3.6575524383030493
supertrend,"{'atr_window': 14, 'multiplier': 3.0}",6.12517175066886,0.12712491409124205,-0.40865930568339404,0.6894407467105477,0.7830461782748538,0.3110779867808301,65.0,0.5384615384615384,0.03607466470457889,2.6567692195361596
ema_cross,"{'fast_window': 15, 'slow_window': 50}",5.978777558355182,0.1256997952669099,-0.3124479598283908,0.6777177324451285,0.7799436030988582,0.40230634034528295,36.0,0.5555555555555556,0.06801361965456273,3.561566001107731
ema_cross,"{'fast_window': 20, 'slow_window': 50}",5.847994648026423,0.12440270433673883,-0.31344373786249846,0.6699596886621809,0.7699212267711892,0.39689006130762716,34.0,0.5,0.07125487662609983,3.5027645245020453
supertrend,"{'atr_window': 7, 'multiplier': 3.0}",5.798994963062056,0.12391073258252927,-0.4137227782824583,0.6914944576567751,0.755315192258905,0.2995018381558206,64.0,0.546875,0.035387466719993516,2.6994865930983845
