strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
macd_momentum,"{'fast': 12, 'slow': 26, 'signal': 5}",1.442256632635698,0.19637479988760798,-0.5073725844037731,0.679303311164383,0.7923469360877444,0.3870425914288869,65.0,0.3230769230769231,0.02123508170747479,1.636493841480477
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 35, 'exit_threshold': 55}",1.3540876927106886,0.18757432683848907,-0.15475975825461108,1.3087362724001603,0.5803389044061121,1.212035537881181,10.0,1.0,0.09012227045698047,inf
donchian_breakout,"{'entry_window': 55, 'exit_window': 5}",1.33933792802284,0.18607647048254927,-0.2670633701312234,0.8238466584946481,0.8768341149911377,0.6967502521634448,23.0,0.34782608695652173,0.045041814994933205,2.928995363711206
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 35, 'exit_threshold': 65}",1.3234450272338,0.18445405548122595,-0.20899988948535442,1.0464285650350142,0.6009757718799044,0.8825557560601078,4.0,1.0,0.23757894445883354,inf
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 45, 'exit_threshold': 60}",1.3148830920613936,0.18357633743458712,-0.3391322889737719,0.7245818655273043,0.6221466644439171,0.5413118815377226,23.0,0.9130434782608695,0.03988440205884983,3.8369027362806865
bollinger_mean_reversion,"{'window': 15, 'std_mult': 2.5}",1.2997427685142084,0.1820178718385821,-0.09558881458255031,1.2507989314715058,0.6393835505568826,1.9041754271509646,9.0,1.0,0.09820025770958794,inf
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 45, 'exit_threshold': 65}",1.2908430012270675,0.18109794584823535,-0.40573171857780643,0.6706266369399286,0.6097037383101819,0.4463489975174483,17.0,0.8823529411764706,0.05712597667229698,3.759620541686163
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 40, 'exit_threshold': 55}",1.2635295269102689,0.17825673515611018,-0.28154570010598623,0.8520061577537948,0.569075661778413,0.6331360595775622,18.0,0.8888888888888888,0.047821926980193157,8.271276460360848
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 40, 'exit_threshold': 65}",1.2050063463305896,0.17207553819568466,-0.20899988948535442,0.9930260140608843,0.5923258245545471,0.8233283693087444,3.0,1.0,0.30358409893492144,inf
bollinger_mean_reversion,"{'window': 15, 'std_mult': 1.5}",1.1031338290691672,0.16099579370366834,-0.3572319645119184,0.6398406037284398,0.535248085416147,0.45067577847809587,40.0,0.875,0.021019051804624232,2.3882594589266803
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 150, 'atr_stop_multiplier': 2.0}",1.0302176836953727,0.152798957655099,-0.46420478043065827,0.5933589896648791,0.6990364740551769,0.3291628266157498,23.0,0.2608695652173913,0.044684599009390036,2.472381435452264
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 200, 'atr_stop_multiplier': 2.0}",1.0302176836953727,0.152798957655099,-0.46420478043065827,0.5933589896648791,0.6990364740551769,0.3291628266157498,23.0,0.2608695652173913,0.044684599009390036,2.472381435452264
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 35, 'exit_threshold': 60}",0.9966112714099724,0.14894167163254024,-0.15475975825461097,1.2112593047717424,0.46744063912106376,0.9624056880956172,4.0,1.0,0.1899308440512364,inf
