symbol,start_date,end_date,company_name,exchange,cusip,figi,perm_id,successor_symbol,delisted,delisting_date,source,source_asof,notes
CSCO,2007-02-01,,Cisco,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
CSGP,2019-12-23,2020-07-19,CoStar Group,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
CSGP,2022-12-19,2026-05-17,CoStar Group,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
CSX,2016-02-16,,CSX Corporation,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
CTAS,2007-02-01,2010-12-19,Cintas,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
CTAS,2016-12-19,,Cintas,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
CTRX,2012-12-24,2015-07-23,Catamaran Corporation,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
CTSH,2007-02-01,,Cognizant,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
CTXS,2007-02-01,2020-12-20,Citrix Systems,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DASH,2023-12-18,,DoorDash,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
DDOG,2021-12-20,,Datadog,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
DELL,2007-02-01,2013-10-28,Dell,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DISCA,2007-02-01,2008-12-21,Discovery Communications Class A,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DISCA,2012-12-24,2017-12-17,Discovery Communications Series A,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DISCK,2007-02-01,2017-12-17,Discovery Communications Series C,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DISH,2007-02-01,2010-12-19,Dish Network,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DISH,2013-12-23,2018-07-22,Dish Network,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DLTR,2010-12-20,2024-11-17,Dollar Tree,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DOCU,2020-06-22,2022-12-18,DocuSign,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DTV,2008-04-30,2015-07-23,DirecTV,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
DXCM,2020-04-20,,DexCom,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
EA,2007-02-01,2012-12-23,Electronic Arts,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
EA,2014-12-22,,Electronic Arts,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
EBAY,2007-02-01,2023-12-17,EBay,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ENDP,2015-12-21,2016-07-17,Endo International,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ENPH,2022-11-21,2023-12-17,Enphase Energy,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
EQIX,2012-12-24,2015-03-22,Equinix,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ERIC,2007-02-01,2007-12-23,LM Ericsson,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ESRX,2007-02-01,2018-12-23,Express Scripts,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
EXC,2019-11-21,,Exelon,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
EXPD,2007-02-01,2015-12-20,Expeditors International,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
EXPE,2007-02-01,2014-12-21,Expedia Group,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
EXPE,2015-12-21,2020-12-20,Expedia,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FANG,2022-12-19,,Diamondback Energy,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
FAST,2007-02-01,,Fastenal,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
FER,2025-12-22,,Ferrovial,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
FFIV,2010-12-20,2014-12-21,F5 Networks,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FI,2007-02-01,2023-06-06,Fiserv,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FLEX,2007-02-01,2012-12-23,Flextronics,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FLIR,2008-07-21,2011-12-18,FLIR Systems,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FMCN,2007-12-24,2009-01-19,Focus Media Holding,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FOSL,2011-12-19,2013-12-22,Fossil Group,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FOX,2014-12-22,2019-03-18,21st Century Fox Class B,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FOX,2019-03-19,2021-12-19,Fox Corporation,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FOXA,2007-02-01,2019-03-18,21st Century Fox Class A,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FOXA,2019-03-19,2021-12-19,Fox Corporation,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FSLR,2008-12-22,2012-04-22,First Solar,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
FTNT,2021-12-20,,Fortinet,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
FWLT,2007-07-12,2010-12-19,Foster Wheeler,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
GEHC,2023-06-07,,GE HealthCare,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
GENZ,2007-02-01,2011-04-03,Genzyme,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
GFS,2022-12-19,2025-12-21,GlobalFoundries,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
GILD,2007-02-01,,Gilead Sciences,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
GMCR,2011-05-27,2012-12-23,Green Mountain Coffee Roasters,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
GMCR,2013-08-22,2015-12-20,Keurig Green Mountain,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
GOLD,2011-12-19,2013-11-17,Randgold Resources,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
GOOG,2014-04-03,,Alphabet Inc. (Class C),NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
GOOGL,2007-02-01,,Alphabet Inc. (Class A),NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
GRMN,2007-02-01,2015-12-20,Garmin,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
HANS,2007-12-24,2009-12-20,Hansen Natural,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
HAS,2016-12-19,2019-12-22,Hasbro,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
HOLX,2007-12-24,2010-12-19,Hologic,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
HOLX,2016-12-19,2018-12-23,Hologic,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
HON,2021-07-21,,Honeywell,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
HSIC,2007-02-01,2019-12-22,Henry Schein,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
IACI,2007-02-01,2009-12-20,IAC/InterActiveCorp,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
IDXX,2017-03-20,,Idexx Laboratories,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ILMN,2008-12-22,2011-12-18,Illumina,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ILMN,2013-12-23,2024-12-22,Ilumina,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
INCY,2015-10-07,2021-12-19,Incyte,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
INFY,2007-02-01,2012-12-11,Infosys,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
INSM,2025-12-22,,Insmed Incorporated,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
INTC,2007-02-01,,Intel,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
INTU,2007-02-01,,Intuit,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ISRG,2007-02-01,,Intuitive Surgical,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
JAVA,2007-02-01,2009-07-16,Sun Microsystems,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
JBHT,2008-12-22,2010-12-19,J. B. Hunt,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
JBHT,2017-02-07,2019-12-22,J.B. Hunt,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
JD,2015-07-29,2023-12-17,JD.com,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
JNPR,2007-02-01,2009-10-28,Juniper Networks,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
JOYG,2007-02-01,2011-12-05,Joy Global,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
KDP,2020-10-19,,Keurig Dr Pepper,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
KHC,2015-07-02,,Kraft Heinz,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
KLAC,2007-02-01,2016-02-15,KLA-Tencor,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
KLAC,2016-12-19,,KLA Corporation,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
KRFT,2013-03-18,2015-07-01,Kraft Foods,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LAMR,2007-02-01,2008-12-21,Lamar Advertising Company,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LBTYA,2007-02-01,2009-12-20,Liberty Global Class A,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LBTYA,2012-12-24,2020-12-20,Liberty Global,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LBTYK,2014-12-22,2020-12-20,Liberty Global,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LCID,2021-12-20,2023-12-17,Lucid Group,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LEAP,2007-10-08,2008-12-21,Leap Wireless International,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LIFE,2008-12-22,2013-08-21,Life Technologies,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LILA,2015-07-02,2015-12-20,Liberty Latin America Class A,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LILAK,2015-07-02,2015-12-20,Liberty Latin America Class C,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LIN,2024-03-18,,Linde plc,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
LITE,2026-05-18,,Lumentum,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
LLTC,2007-02-01,2016-10-18,Linear Technology,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LMCA,2012-12-24,2013-01-14,Liberty Media,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LMCA,2013-06-05,2016-06-19,Liberty Media,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LMCK,2007-02-01,2016-06-19,Liberty Media,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LOGI,2007-02-01,2010-12-19,Logitech,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LRCX,2007-02-01,2012-12-23,Lam Research,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LRCX,2014-12-22,,Lam Research,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
LULU,2018-12-24,2025-12-21,Lululemon Athletica,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
LVLT,2007-02-01,2008-12-21,Level 3 Communications,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
MAR,2013-11-18,,Marriott International,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
MAT,2009-12-21,2017-10-22,Mattel,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
MCHP,2007-02-01,2013-12-22,Microchip Technology,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
MCHP,2016-07-18,,Microchip Technology,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
MDB,2023-12-18,2025-05-18,MongoDB,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
MDLZ,2007-02-01,,Mondelez International,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
MEDI,2007-02-01,2007-05-31,MedImmune,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
