symbol,date,open,high,low,close,volume
GOOG,2021-06-14,124.57119608467758,125.30670806541305,123.95413136775662,125.24772644042969,22550000
GOOG,2021-06-15,125.41624321865433,125.75326810236375,124.55037271812343,124.93151092529297,22182000
GOOG,2021-06-16,125.1441408060417,125.41772963545601,123.06492317913772,124.59796142578125,26316000
GOOG,2021-06-17,124.42596748707687,126.0848416362786,124.41803419819699,125.26655578613281,25756000
GOOG,2021-06-18,124.60687192282845,125.2844005296413,123.51400651245312,124.47007751464844,53306000
GOOG,2021-06-21,124.6410755374934,125.92649531328948,124.04061854594865,125.3498306274414,26256000
GOOG,2021-06-22,125.34485984291177,126.1576929729991,124.92506105228276,125.88955688476562,20984000
GOOG,2021-06-23,125.44399734334849,126.67910232551053,125.14859765193465,125.35626983642578,19694000
GOOG,2021-06-24,125.94309046479732,126.42088017782795,125.85040937938348,126.16959381103516,18934000
GOOG,2021-06-25,125.84744668558378,126.3906539334085,125.33892961896906,125.88511657714844,33484000
GOOG,2021-06-28,125.89006223256858,126.22411496807746,124.8728315327348,125.71114349365234,28110000
GOOG,2021-06-29,125.66453755765443,125.89005016922358,124.34070690882837,124.91712951660156,20950000
GOOG,2021-06-30,124.55537666385166,124.70055056058611,123.66715835536182,124.22077941894531,24006000
GOOG,2021-07-01,123.7586041738612,125.3572640901754,123.7586041738612,125.26408386230469,17120000
GOOG,2021-07-02,125.73097225172897,127.7219254542568,125.66108518786957,127.59403991699219,21160000
GOOG,2021-07-06,128.31811751915862,128.74932836713967,127.28671453330057,128.63681030273438,21350000
GOOG,2021-07-07,129.2018902258368,129.49816724878073,128.62595903313536,128.94068908691406,16680000
GOOG,2021-07-08,127.12913442693282,128.89605713494794,126.92096310718405,128.04803466796875,19780000
GOOG,2021-07-09,127.81757861991606,128.7146680593955,127.81658034132889,128.4420623779297,15106000
GOOG,2021-07-12,128.6987824597825,129.6271057814983,128.46733311609378,129.4228973388672,16944000
GOOG,2021-07-13,129.73763620241206,130.88800092868556,129.49526628098934,129.8496551513672,16618000
GOOG,2021-07-14,130.74872848514352,131.83366061386502,130.74524963572966,130.9281463623047,17912000
GOOG,2021-07-15,131.3420028593412,131.436173807275,129.45663271976483,130.11927795410156,16586000
GOOG,2021-07-16,130.4905262321742,131.02778166387637,129.67818452411032,130.6932373046875,14856000
GOOG,2021-07-19,130.00926058837544,130.09995269015585,127.41364537521233,128.12437438964844,25710000
GOOG,2021-07-20,128.86783740234046,130.84772672321748,128.05936772297028,129.95574951171875,19084000
GOOG,2021-07-21,129.64397723436196,131.4582275989619,129.46009734005494,131.44161987304688,14742000
GOOG,2021-07-22,131.49068639623516,132.3377257917358,131.24287129550692,132.16326904296875,13608000
GOOG,2021-07-23,134.07785037912316,137.59534485279443,133.5232462215428,136.61151123046875,26378000
GOOG,2021-07-26,137.04174371939246,138.49195507388194,136.44797973633214,138.42405700683594,23052000
GOOG,2021-07-27,138.78736681390427,138.78736681390427,133.91929127804903,135.6009521484375,42164000
GOOG,2021-07-28,137.35104566733827,138.45530838596417,135.15838681263114,135.18960571289062,54688000
GOOG,2021-07-29,135.18869905739209,135.95286626310897,134.9482197730468,135.34719848632812,19284000
GOOG,2021-07-30,134.32668907292518,134.58475921565164,133.6359710364847,134.03921508789062,23954000
GOOG,2021-08-02,134.30043398428347,134.83174514969798,133.49255423460033,134.801025390625,20140000
GOOG,2021-08-03,134.81140705339433,135.14396993832906,133.01078481298242,135.08895874023438,19064000
GOOG,2021-08-04,135.05873756620986,135.34471414980803,134.23152757218728,134.8396759033203,16528000
GOOG,2021-08-05,134.83964658298203,135.75308647850733,134.41489423335804,135.74317932128906,11866000
GOOG,2021-08-06,135.10381195758814,135.88200024870852,134.85747919098068,135.8383331298828,13560000
GOOG,2021-08-09,135.75210754630416,137.1126098442839,135.2364059648391,136.7958984375,12374000
GOOG,2021-08-10,136.87272241280922,137.34059738691133,136.02718053836261,136.8895721435547,16034000
GOOG,2021-08-11,137.0744638632989,137.63427126577432,136.14961925968484,136.48614501953125,15204000
GOOG,2021-08-12,136.50945230866833,137.20829276400184,135.58362445612704,137.18003845214844,14646000
GOOG,2021-08-13,137.1482816134208,137.46201328936107,136.79886904732808,137.1963653564453,12580000
GOOG,2021-08-16,136.7939247357123,137.77576191562815,134.97571165727643,137.70191955566406,18040000
GOOG,2021-08-17,136.98324522919515,137.50614652818902,135.5920231476772,136.1005401611328,21272000
GOOG,2021-08-18,135.91716873970796,137.085381666416,135.22874971794076,135.37644958496094,14934000
GOOG,2021-08-19,134.2835573571537,136.250710575215,134.1730358236268,135.7169189453125,18296000
GOOG,2021-08-20,135.88494136924143,137.4030659817041,135.27432762789584,137.22711181640625,15564000
GOOG,2021-08-23,137.7836821762398,140.93439998368015,137.5353226167544,139.86631774902344,21090000
GOOG,2021-08-24,140.3064531306813,141.75766266709394,140.11811125619684,141.1539764404297,15126000
GOOG,2021-08-25,141.63425255844453,142.06050238718717,141.19463184688692,141.70066833496094,12838000
GOOG,2021-08-26,141.37204273233985,141.88382679240712,140.84965574562324,140.88087463378906,14922000
GOOG,2021-08-27,140.87050442946054,143.74367140609738,140.7788140474122,143.28720092773438,24562000
GOOG,2021-08-30,143.4398218648292,145.20922509931688,143.33624290952181,144.19813537597656,16916000
GOOG,2021-08-31,144.6095277103083,144.83503278631727,143.73275175343582,144.1907196044922,26756000
GOOG,2021-09-01,144.37705950009808,145.53733139824254,144.3418777449803,144.5673828125,15824000
GOOG,2021-09-02,144.67396316057943,145.04618497546667,142.84708294416617,142.95858764648438,21844000
GOOG,2021-09-03,142.88621922862686,144.10646357676572,142.2508300178848,143.5097198486328,19104000
GOOG,2021-09-07,143.48443209977125,144.54954990425566,143.2777581952785,144.24720764160156,15170000
GOOG,2021-09-08,144.1227857997295,144.2789104936506,142.93972000003689,143.61724853515625,15486000
GOOG,2021-09-09,143.61728182930332,144.3964080619078,143.1717167934845,143.6470184326172,14798000
GOOG,2021-09-10,144.1723545060233,144.7428252544245,140.50271323567108,140.68064880371094,32896000
GOOG,2021-09-13,141.94946603476788,142.93080402260333,141.0389906929406,142.21115112304688,20176000
GOOG,2021-09-14,142.90107067958212,143.46261745773057,141.65655015741294,142.15267944335938,18916000
GOOG,2021-09-15,142.50259073895944,144.309157172922,141.0127205934312,143.9369354248047,20648000
GOOG,2021-09-16,143.85270485239175,143.93100922202166,142.1629519148649,143.1117401123047,20292000
GOOG,2021-09-17,142.54174200846145,142.98880441337624,139.82866295123725,140.22715759277344,60040000
GOOG,2021-09-20,137.78537937013954,138.14451762607175,135.85519274968732,137.80203247070312,34918000
GOOG,2021-09-21,138.89244868200248,139.58097358734125,137.69153455645204,138.42605590820312,18130000
GOOG,2021-09-22,138.8265017371009,140.34609331113322,138.25280925594834,139.7067413330078,22068000
GOOG,2021-09-23,140.37186122361447,141.0092014929506,139.86334424672762,140.58697509765625,17272000
GOOG,2021-09-24,139.71414602603298,141.65454191827,139.6194759667946,141.3863983154297,14950000
GOOG,2021-09-27,140.34809278521013,141.25460537170252,139.27208459455582,140.26434326171875,18844000
GOOG,2021-09-28,137.8729158935371,138.3863940780007,134.51402621091523,134.99380493164062,42190000
GOOG,2021-09-29,135.9113965156611,136.19767556102167,133.07669398868055,133.34532165527344,26338000
GOOG,2021-09-30,133.1510492766443,134.40499306888503,131.83763228088753,132.10081481933594,35294000
GOOG,2021-10-01,132.38729209242433,135.87305410284495,132.2118370647147,135.26986694335938,28388000
GOOG,2021-10-04,134.5135345869747,134.514033726277,130.0201615843272,132.595947265625,31530000
GOOG,2021-10-05,132.82890148642568,136.1615186650787,132.82890148642568,134.98687744140625,24126000
GOOG,2021-10-06,133.44891049396676,136.6472131473903,133.311117816798,136.153564453125,19764000
GOOG,2021-10-07,137.64937918901305,138.92953517747364,137.35199808771898,137.96905517578125,18250000
GOOG,2021-10-08,138.68330244331528,139.09070604673366,138.21081409122382,138.8319854736328,18924000
GOOG,2021-10-11,138.57819277376515,139.53342429384222,137.5933759090817,137.63401794433594,16584000
GOOG,2021-10-12,138.4171136172655,138.47412137248665,135.0592222183902,135.51817321777344,22536000
GOOG,2021-10-13,136.54609545938695,137.3391066613697,135.77935713039136,136.6947784423828,16380000
GOOG,2021-10-14,138.72885501616014,140.41351045841066,138.12122105390935,140.1761016845703,21426000
GOOG,2021-10-15,140.9572189889702,140.9572189889702,139.83164479565173,140.4368133544922,21250000
GOOG,2021-10-18,139.97931872688673,141.74896376406278,139.97931872688673,141.71104431152344,16564000
GOOG,2021-10-19,142.03918231782805,142.84754591424652,141.84538015554773,142.56504821777344,15316000
GOOG,2021-10-20,142.9620472019495,142.98707979248542,140.67173911038583,141.1703338623047,17940000
GOOG,2021-10-21,140.94932650358083,141.60108154857795,140.39916901340493,141.53268432617188,14850000
GOOG,2021-10-22,139.12438073155542,140.321331851396,135.97168090763168,137.41346740722656,30182000
GOOG,2021-10-25,137.5973589808942,137.98919847472757,135.55338345402126,137.5601806640625,21082000
GOOG,2021-10-26,139.3771520347792,139.60860139837445,137.7906303254033,138.45130920410156,28258000
GOOG,2021-10-27,138.67979846728335,147.81475816635793,138.67979846728335,145.1477813720703,51850000
GOOG,2021-10-28,146.01164035948744,146.1360470306337,143.49830796827857,144.85186767578125,32418000
GOOG,2021-10-29,144.24820527134028,147.3141757246461,143.8977943869837,146.9746551513672,28954000
GOOG,2021-11-01,146.8700711861353,147.10253394069878,142.3246521811485,142.5174560546875,32272000
GOOG,2021-11-02,143.54379994454104,145.6364486418198,143.3768756926407,144.58819580078125,21150000
GOOG,2021-11-03,144.99661208372197,145.6265712708721,143.78579086713236,145.50711059570312,17886000
GOOG,2021-11-04,145.9135193986106,148.63948534062936,145.35345488499934,147.38356018066406,24700000
GOOG,2021-11-05,148.04819583441935,149.25481203480683,147.35281923055575,147.93667602539062,20408000
GOOG,2021-11-08,148.68906507013762,149.71452410990813,147.81675104825396,148.04623413085938,18388000
GOOG,2021-11-09,148.43727190974002,149.06423620474177,146.2178415985996,147.94412231445312,16876000
GOOG,2021-11-10,146.7162086795891,147.40042280277424,144.05491885409214,145.3445587158203,22708000
GOOG,2021-11-11,145.82134069530798,147.20439521771485,145.41245484895987,145.46548461914062,12464000
GOOG,2021-11-12,146.53950476930524,148.5497806809216,145.17404118802602,148.337646484375,17048000
GOOG,2021-11-15,148.68904829396303,149.16188442867957,147.35332138001854,148.0823974609375,16248000
GOOG,2021-11-16,147.8667888600166,148.5230056867814,147.05346418077735,147.7731170654297,17254000
GOOG,2021-11-17,147.9247946858818,148.31832819103784,147.26461492957674,147.75924682617188,15290000
GOOG,2021-11-18,147.842502370913,150.28497218658694,147.69629994933828,149.391845703125,26658000
GOOG,2021-11-19,149.68032896566467,150.52290640405568,148.57754868246988,148.64198303222656,19766000
GOOG,2021-11-22,148.8295356147895,149.4270203237443,145.72068512344347,145.79306030273438,24608000
GOOG,2021-11-23,145.82727191610493,146.40318781426174,143.62319415900308,145.47438049316406,18126000
GOOG,2021-11-24,145.07093033338032,145.71524338661865,143.9299889222372,145.43521118164062,16464000
GOOG,2021-11-26,143.74813070213168,144.02716470677922,141.240243008366,141.5579376220703,16992000
GOOG,2021-11-29,143.03738168416223,145.5784847441051,143.03738168416223,144.83702087402344,26276000
GOOG,2021-11-30,144.17908833714895,145.34702899741532,140.82440313853803,141.20703125,41590000
GOOG,2021-12-01,142.9521483778628,145.21881579064393,140.26336032984102,140.3803253173828,28476000
GOOG,2021-12-02,140.58452312776336,143.41060453293966,139.74987144640286,142.51995849609375,21250000
GOOG,2021-12-03,143.23267837339708,143.94390656281027,139.91641169488426,141.27493286132812,26688000
