symbol,date,open,high,low,close,volume
AMAT,2021-06-14,131.15717014477752,133.7937360062686,130.1504784354226,133.29518127441406,6062900
AMAT,2021-06-15,133.39108862444442,134.81003661788583,132.49944220406087,132.92129516601562,6059300
AMAT,2021-06-16,133.75541301061685,134.50323799076563,130.42854422201728,131.32977294921875,8030400
AMAT,2021-06-17,130.9174886282632,132.93085751430957,129.47936172563718,131.65573120117188,7690300
AMAT,2021-06-18,129.67110138682548,130.63943484409765,125.24167547002358,125.8169174194336,13258400
AMAT,2021-06-21,125.77853605081104,128.06995017382377,124.9444274283947,127.56181335449219,5984000
AMAT,2021-06-22,127.34135463249834,128.89452705641727,126.1716768766584,127.93577575683594,5680900
AMAT,2021-06-23,128.76031364437117,130.59153229669184,128.74113452048607,129.9108123779297,6327400
AMAT,2021-06-24,131.3488639838817,132.75822887727057,131.0708326795277,132.556884765625,6374100
AMAT,2021-06-25,132.9883992917509,133.46777494186563,129.7957557064609,130.5723419189453,7276700
AMAT,2021-06-28,133.05548515902393,135.58658764280347,132.24054081916077,135.17433166503906,6984400
AMAT,2021-06-29,134.65661346125876,136.90008793059758,134.5990907255398,136.06597900390625,5340500
AMAT,2021-06-30,136.13307672378946,136.75625909970933,134.2922763298832,136.52615356445312,5963400
AMAT,2021-07-01,135.85503670549696,136.3248300413713,131.91456884519857,132.2597198486328,7693500
AMAT,2021-07-02,134.15805399074137,134.7237283406709,131.8474746206785,132.46107482910156,5299600
AMAT,2021-07-06,133.53489425484597,135.28941107806398,129.25887118943004,131.1380157470703,7432600
AMAT,2021-07-07,132.79663196070524,133.01715528400106,128.49184815947544,129.30677795410156,5956800
AMAT,2021-07-08,126.20999033070444,128.8465557744804,124.36919003093922,127.06327819824219,7770900
AMAT,2021-07-09,127.9165929848178,129.79575191530876,126.6414520372317,129.33554077148438,5762900
AMAT,2021-07-12,130.3805945737143,131.3776894889394,129.1150358354146,131.1571807861328,5459600
AMAT,2021-07-13,130.39019666698053,131.32018674002973,129.1917573593796,130.66822814941406,4950600
AMAT,2021-07-14,132.4898477606686,134.11013983839695,129.8245202511763,130.0546112060547,5982300
AMAT,2021-07-15,129.41221074455012,130.3230213028847,126.17164219081094,127.70563507080078,7057900
AMAT,2021-07-16,128.47265417234695,129.03831384011391,122.64344542153854,122.89271545410156,8190600
AMAT,2021-07-19,120.02605816127324,123.41044853215301,118.77008918756351,123.31456756591797,8934000
AMAT,2021-07-20,123.87066024002894,127.62896343504745,122.52841432373064,126.52640533447266,7417600
AMAT,2021-07-21,127.34132418288863,132.56651459029283,127.06327818004091,132.30764770507812,6434100
AMAT,2021-07-22,131.34891617876653,133.02673080148801,130.74489823318441,131.521484375,5564000
AMAT,2021-07-23,132.25974364130877,133.26643546820446,130.89831850212374,132.71994018554688,4345600
AMAT,2021-07-26,132.5281802312285,134.1101285598986,131.77077318614377,132.7678680419922,4638200
AMAT,2021-07-27,131.95294227781642,131.95294227781642,126.15249415497466,129.33554077148438,6344100
AMAT,2021-07-28,130.0354035890096,132.19259335190955,129.43138577399623,131.55023193359375,5041900
AMAT,2021-07-29,129.82452133331788,132.17345917004752,128.0028850255026,131.82830810546875,5382600
AMAT,2021-07-30,130.86952600591553,135.56740057488832,130.84076464307788,134.1580352783203,8556400
AMAT,2021-08-02,135.22224721141248,139.25859573469498,135.0784403997554,136.15223693847656,10230600
AMAT,2021-08-03,136.66035117214935,137.44653395712055,134.45523573589554,136.29603576660156,5589600
AMAT,2021-08-04,137.10139762860283,138.7312714577522,135.9604815593843,136.8712921142578,5434600
AMAT,2021-08-05,137.51365990600948,137.9451095940195,135.3373054951014,136.40151977539062,4282200
AMAT,2021-08-06,135.87423744038156,137.25484167375055,135.74959508811284,136.765869140625,3843300
AMAT,2021-08-09,137.5711988058338,137.76294609744915,135.61533839496764,136.1426544189453,4026600
AMAT,2021-08-10,137.01512198495138,137.10140607212722,129.71902559411959,132.36517333984375,6403900
AMAT,2021-08-11,132.7966299091732,132.87333176443246,127.13042115970639,129.25885009765625,9630600
AMAT,2021-08-12,126.55515871525769,126.57433783553252,122.42294337366522,123.88983154296875,12962600
AMAT,2021-08-13,123.80354306847646,125.05950475849687,123.27622699993076,124.5417709350586,8812400
AMAT,2021-08-16,124.09117771757728,126.60311615213797,123.77480265228617,126.25796508789062,10412000
AMAT,2021-08-17,124.68560645421096,125.44301352583572,121.4833733865602,123.48716735839844,8208400
AMAT,2021-08-18,123.4967313033468,126.20999876970755,121.93396958728525,122.11613464355469,6768800
AMAT,2021-08-19,121.01359914565589,124.62809590839372,120.11237051675285,123.87067413330078,9020200
AMAT,2021-08-20,125.00198426581377,126.54557425987772,120.08358600205202,121.9531478881836,13707600
AMAT,2021-08-23,123.0173861749278,126.07580539167067,122.52842824188849,126.06622314453125,7710700
AMAT,2021-08-24,126.36343875143284,127.87826773460992,125.23210448046378,126.0182876586914,6356600
AMAT,2021-08-25,126.34481235864428,128.8997589962913,126.24877065908998,127.57427215576172,6735100
AMAT,2021-08-26,127.53587953738919,128.5444129306261,126.39287600213046,127.25733947753906,3958700
AMAT,2021-08-27,127.756771087606,131.73326139788085,127.61270119294325,131.15696716308594,8413900
AMAT,2021-08-30,132.1366837829214,132.44403777079376,130.03317542588596,130.6767120361328,4617700
AMAT,2021-08-31,131.06090401985924,131.20498856321652,128.27544538866934,129.7930450439453,5586000
AMAT,2021-09-01,130.32131835076518,130.66710075554616,127.97769833629859,128.1890106201172,6260300
AMAT,2021-09-02,129.40880222087608,130.58061920065595,128.592381968498,129.13986206054688,5142200
AMAT,2021-09-03,128.55396784659985,131.04167193397467,128.08332984182908,130.4653778076172,4836000
AMAT,2021-09-07,131.25295855043683,131.75242508734036,128.46750084320763,131.0992889404297,5550400
AMAT,2021-09-08,130.3405141127799,130.57104056872984,126.54652262747304,128.2850341796875,7440600
AMAT,2021-09-09,127.77600127908711,130.48463288679096,127.67034512440053,129.66819763183594,6808600
AMAT,2021-09-10,132.81864606735576,135.23912305974002,131.21460428479617,131.43551635742188,9054700
AMAT,2021-09-13,133.24126597988547,135.7193708470648,132.12707656869267,133.93283081054688,8507600
AMAT,2021-09-14,132.65533969143868,136.1996053142302,132.46324163200003,134.60516357421875,8073200
AMAT,2021-09-15,134.4610980672194,135.7577710027133,132.01180742531812,135.65211486816406,6103200
AMAT,2021-09-16,134.81651989636094,138.91788149120637,133.67351628335916,138.39920043945312,8467300
AMAT,2021-09-17,137.35222876392214,137.35222876392214,133.8752050054591,135.23912048339844,10884400
AMAT,2021-09-20,131.16656510634098,131.29143545073487,128.27545023003012,130.17724609375,8822500
AMAT,2021-09-21,131.7140455297475,131.81970165812382,128.17937977181913,129.84104919433594,5782200
AMAT,2021-09-22,130.81116876057732,133.31808721410184,130.1964461916282,132.64573669433594,6344300
AMAT,2021-09-23,133.82713732255024,136.53575327338018,133.2316290285952,135.53683471679688,5620700
AMAT,2021-09-24,133.90400288678055,136.74708942242313,133.66387664158776,136.3148651123047,3729900
AMAT,2021-09-27,134.08647823131733,137.61152914875325,134.02883563117564,137.1024627685547,5248600
AMAT,2021-09-28,132.17512642446596,134.06732291634796,127.29575805532097,127.64154052734375,12873900
AMAT,2021-09-29,127.55507383457358,128.74609071910038,122.98306040720226,123.20398712158203,10730100
AMAT,2021-09-30,124.27012707083902,125.68207042836578,123.4344778522949,123.64579010009766,7329800
AMAT,2021-10-01,124.15486208352331,124.48144489867524,121.42703159742597,124.0300064086914,6459200
AMAT,2021-10-04,122.61807494420906,122.77175193753055,118.30540210802528,120.2552261352539,9549500
AMAT,2021-10-05,122.44519241092627,124.09725501437369,120.44734005987581,123.01189422607422,7330400
AMAT,2021-10-06,121.31177399222018,123.11751327065701,120.7546793814216,121.52307891845703,7388700
AMAT,2021-10-07,123.56897719375893,124.8176367746038,122.42598108989215,122.82939147949219,5761300
AMAT,2021-10-08,123.23279944460396,123.70343753381889,120.89877190652783,121.23494720458984,6300500
AMAT,2021-10-11,120.73546655478376,124.09723380379762,120.69705280635469,122.4643783569336,5472000
AMAT,2021-10-12,123.67461901252767,123.74186139774213,120.00549751922244,121.75361633300781,7637900
AMAT,2021-10-13,123.69382725046206,124.36617778946238,122.4643820773922,123.14634704589844,4950600
AMAT,2021-10-14,126.42163532764285,127.02675803319107,124.5294397254701,126.85387420654297,7947600
AMAT,2021-10-15,127.03635871856595,127.66069562805676,126.06625415329198,126.392822265625,4826600
AMAT,2021-10-18,125.2114253390517,128.13135392600825,124.71195866344277,128.01609802246094,4208500
AMAT,2021-10-19,128.0641056166709,129.99471497148465,127.37254099426062,129.28395080566406,3694300
AMAT,2021-10-20,128.67887678716247,129.86029402408548,128.08336828103216,128.6884765625,4619000
AMAT,2021-10-21,126.46007407135168,128.23699927831012,125.35548468267262,128.07371520996094,5611000
AMAT,2021-10-22,129.86985144283477,135.96904770582424,129.19748640458945,130.5614013671875,10744900
AMAT,2021-10-25,130.868800287777,132.47284180596162,129.95632351057696,130.3981475830078,4005600
AMAT,2021-10-26,131.8581403070006,131.97339623021563,126.47930582941186,126.78667449951172,7864600
AMAT,2021-10-27,128.01611438050446,128.9766194491794,126.21997459204849,126.94035339355469,7837600
AMAT,2021-10-28,129.2551891212534,132.40564493949574,129.20716093101913,130.64791870117188,6391700
AMAT,2021-10-29,129.4664509951862,131.83889930683034,129.23593919560417,131.25299072265625,5715300
AMAT,2021-11-01,131.56995434394165,134.15371481583483,131.03207395618452,134.00003051757812,5329000
AMAT,2021-11-02,133.99043421685764,135.88263005176626,133.40452563869596,135.63290405273438,4822900
AMAT,2021-11-03,135.85384695695782,137.68841525956324,134.3554613098972,137.1121063232422,4117500
AMAT,2021-11-04,137.61154300941263,144.54638965478108,136.87195012257442,144.2006072998047,9272800
AMAT,2021-11-05,144.33510965156336,147.65844918615664,142.91355151006047,147.23582458496094,7706800
AMAT,2021-11-08,148.74382287682576,148.77263685781935,145.2571846151507,146.9188690185547,5878500
AMAT,2021-11-09,146.93802565057885,150.49189061117255,145.43964045198243,150.11729431152344,7274600
AMAT,2021-11-10,147.1973441386667,148.87822735069062,144.33504425848187,144.45989990234375,7149500
AMAT,2021-11-11,146.21767468834685,148.0906565409619,145.32441205715486,147.82171630859375,5061000
AMAT,2021-11-12,148.56132427784243,151.19311356737478,148.0234437587894,150.6264190673828,5778600
AMAT,2021-11-15,150.76088010638256,151.89426903802402,149.07038182712878,150.09812927246094,7304300
AMAT,2021-11-16,149.2432871487482,152.72031092126605,147.48556105676607,151.62533569335938,6200700
AMAT,2021-11-17,151.67331618325693,152.24961026842456,149.7330923874037,149.8195343017578,5759200
AMAT,2021-11-18,152.24005456021402,152.70109289301664,148.62856075032877,152.4705810546875,9929500
AMAT,2021-11-19,145.00744555464732,150.27100901543804,143.82602847144264,144.1045684814453,16028700
AMAT,2021-11-22,145.0362426998511,146.93803833484463,141.54000538260368,141.72250366210938,9029100
AMAT,2021-11-23,142.8366780499863,144.02769464534788,139.3692550679325,143.0383758544922,7254500
AMAT,2021-11-24,142.75939584632064,143.47132210524367,140.2772912287674,143.35586547851562,6185900
AMAT,2021-11-26,140.08488074195864,141.59530001487707,136.82351367772105,137.8529052734375,7334100
AMAT,2021-11-29,141.20088136457758,145.809120473686,139.97906684261733,145.48202514648438,9932300
AMAT,2021-11-30,145.37619004601143,146.213173534758,140.90263837055866,141.6049346923828,13505800
AMAT,2021-12-01,145.51091641771075,150.63867477106507,144.15441443406866,145.91497802734375,14372000
AMAT,2021-12-02,142.38423252272906,144.21213233859933,138.28588084430422,140.93153381347656,9573200
AMAT,2021-12-03,142.87482516672148,145.0202190228692,137.89138583407052,140.29652404785156,7768000
AMAT,2021-12-06,140.248455507553,142.73056056340423,135.66907641989872,141.78775024414062,8579700
AMAT,2021-12-07,145.27036854804584,152.00475649398174,144.43338502944434,150.93687438964844,10514900
AMAT,2021-12-08,150.90800901973722,151.87006440946402,149.26288784419228,151.32168579101562,6582400
AMAT,2021-12-09,149.92670120402414,152.33183956271216,146.5979979362877,146.8577423095703,5420000
AMAT,2021-12-10,150.18647497759227,150.93687704466942,144.93364582825123,146.93472290039062,5291900
AMAT,2021-12-13,148.2431142269784,148.60869997938545,141.15277057083517,141.5183563232422,6202500
AMAT,2021-12-14,139.4787831624229,142.57660262221393,139.04586118272042,142.1244354248047,5691500
AMAT,2021-12-15,142.33609442675004,148.0507058889652,139.65196630227345,147.82943725585938,6883000
AMAT,2021-12-16,148.54135359156103,149.45531800049446,140.71022292206433,141.13352966308594,7155900
AMAT,2021-12-17,139.77703234592627,143.32701936804156,138.74764062969908,140.60440063476562,9334700
AMAT,2021-12-20,138.34358100164752,141.21050222256693,137.81444755152773,139.50765991210938,4653400
AMAT,2021-12-21,143.6925764415234,145.7706193583906,141.44137062148317,145.67440795898438,5986900
AMAT,2021-12-22,144.27944717778757,146.6557251517209,143.269286088173,146.540283203125,4293700
AMAT,2021-12-23,147.26182407960263,150.6001427431651,147.19447315669095,149.58999633789062,4625500
AMAT,2021-12-27,150.26344841853296,156.63225102608538,150.26344841853296,156.54566955566406,6416500
AMAT,2021-12-28,156.6707393107961,156.80542648953246,152.72630600811476,153.58253479003906,5834300
AMAT,2021-12-29,153.83268230725622,156.83430571740882,153.4959716600868,154.8717041015625,4654400
AMAT,2021-12-30,154.58306624852457,154.8139648466136,151.64880880174326,151.9855194091797,4171400
AMAT,2021-12-31,152.1394707911848,153.61141467313618,151.0812037676496,151.38906860351562,3594300
AMAT,2022-01-03,151.75462226076854,154.6792641825818,150.75407643607966,153.86151123046875,5363900
AMAT,2022-01-04,153.91927526498878,155.69906925392857,148.64720019467546,152.3511199951172,6947000
AMAT,2022-01-05,152.04327612374394,152.86102933934745,147.6755497119003,147.9064483642578,6840100
AMAT,2022-01-06,147.4638729965279,151.4275371506622,146.0785106607676,150.4077606201172,6576000
AMAT,2022-01-07,149.2148273963959,151.408312960089,144.9240530198153,145.0876007080078,6335700
AMAT,2022-01-10,142.11482523061684,144.21209896174688,137.83368162548408,143.9138641357422,9683900
AMAT,2022-01-11,142.74980120664196,146.86739761319168,140.71986349426984,146.6653594970703,6824400
AMAT,2022-01-12,148.85884191111882,153.68836458300757,148.7530152199885,153.49595642089844,10379800
AMAT,2022-01-13,157.77707527501352,160.21107410334776,150.56166024719278,151.21585083007812,12553600
AMAT,2022-01-14,149.86894818763443,160.72092896731135,149.69578530913788,160.6632080078125,11437300
AMAT,2022-01-18,159.0854698956041,159.5953580459266,145.77062765661015,146.57875061035156,12417000
AMAT,2022-01-19,148.57021701482182,149.90748819119045,137.49696400165763,137.6412811279297,12929000
AMAT,2022-01-20,140.1618772334914,141.7300324977254,133.30241637610771,133.87002563476562,10573800
AMAT,2022-01-21,132.30187412886832,136.51566716202737,129.54076491046908,129.93521118164062,12408200
AMAT,2022-01-24,126.51990933878776,134.14901683514273,124.76897602015312,134.00469970703125,13204800
AMAT,2022-01-25,129.6850586054677,131.23396824034444,126.38520126168724,127.94374084472656,11800000
AMAT,2022-01-26,132.48466874276986,136.20781881277193,127.79944849747785,130.43548583984375,11852600
AMAT,2022-01-27,129.14631974358912,130.31039853493337,124.39376380850722,125.21150207519531,13539100
AMAT,2022-01-28,124.6824133114367,127.47236871709698,119.15058619701934,127.42426300048828,13292900
AMAT,2022-01-31,127.87640703617966,133.11960623645004,126.63536198047788,132.9368133544922,8588900
AMAT,2022-02-01,132.98492386643218,133.995085048617,128.30933368242947,133.3505096435547,8151400
AMAT,2022-02-02,135.36122432341816,136.03466032904632,132.00365956685633,135.4189453125,8134100
