symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca,investigation_note
NVDA,A_100pct_monthly_dca,plain_dca,{},3329451.551071813,610000.0,2719451.551071813,445.81172968390376,73.3705725553829,-35.78026889407349,1.902989765746429,0.0,3329451.551071813,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
NVDA,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",3601238.1846024864,610000.0,2991238.1846024864,490.36691550860434,77.19565923839052,-35.120805899260255,1.970820733041215,20000.0,3581238.1846024864,20.201368836399098,61.0,15.0,0.0,589.4105894105893,0.0,1.0,271786.6335306736,271786.6335306736,3.825086683007612,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
NVDA,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",3419608.2528403807,610000.0,2809608.2528403807,460.5915168590788,74.66750408307334,-35.463295272006256,1.952765122804971,12000.0,3407608.2528403807,9.673904940856156,61.0,72.0,0.0,597.4025974025972,0.6,0.4,90156.70176856779,90156.70176856779,1.2969315276904325,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
GOOGL,A_100pct_monthly_dca,plain_dca,{},1505968.8390647685,610000.0,895968.8390647685,146.8801375516014,37.16386265720447,-27.31825532424238,1.8205291795801193,0.0,1505968.8390647685,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
GOOGL,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",1522408.8775457698,610000.0,912408.8775457698,149.57522582717536,37.632655068051655,-25.686652990721704,1.843678183522486,0.0,1522408.8775457698,16.823012750764075,61.0,19.0,0.0,609.3906093906094,0.0,1.0,16440.038481001277,16440.038481001277,0.46879241084718615,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
GOOGL,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",1509976.2255738091,610000.0,899976.2255738091,147.53708615964084,37.27854465700632,-26.609679080540882,1.83373010776386,0.0,1509976.2255738091,7.3599377990779615,61.0,74.0,0.0,609.390609390609,0.6,0.4,4007.3865090406034,4007.3865090406034,0.1146819998018529,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
GOOG,A_100pct_monthly_dca,plain_dca,{},1490095.1272659586,610000.0,880095.1272659586,144.27788971573094,36.706959558874196,-26.85583097607368,1.802841223399457,0.0,1490095.1272659586,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
GOOG,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",1508320.6438013592,610000.0,898320.6438013592,147.26567931169822,37.23119804304184,-25.251920217500647,1.8399967314891001,0.0,1508320.6438013592,16.89635253715539,61.0,17.0,0.0,609.3906093906094,0.0,1.0,18225.516535400646,18225.516535400646,0.5242384841676468,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
GOOG,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}",1494883.1103221935,610000.0,884883.1103221935,145.0628049708514,36.8452211233909,-26.159655668667668,1.8208364642582298,0.0,1494883.1103221935,7.428294619647634,61.0,73.0,0.0,609.390609390609,0.6,0.4,4787.983056234894,4787.983056234894,0.13826156451670357,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
AAPL,A_100pct_monthly_dca,plain_dca,{},972519.0981695753,610000.0,362519.0981695753,59.42936035566808,18.774054796740675,-28.939664174235226,1.7602316001096516,0.0,972519.0981695753,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
AAPL,B_entry_timing_only_no_sell,macd_momentum,"{""fast"": 12, ""signal"": 9, ""slow"": 21}",977782.973004398,610000.0,367782.97300439805,60.292290656458704,18.995772650628933,-28.877629986298714,1.7555366682953462,10000.0,967782.973004398,1.660854923255955,61.0,57.0,0.0,599.400599400599,0.0,1.0,5263.874834822724,5263.874834822724,0.22171785388825782,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
AAPL,C_60pct_dca_40pct_tactical_reserve,macd_momentum,"{""fast"": 12, ""signal"": 9, ""slow"": 21}",975401.3382969241,610000.0,365401.33829692414,59.901858737200676,18.895590262281118,-28.74219790756992,1.7596188025125648,12000.0,963401.3382969241,2.31884560286424,61.0,100.0,0.0,597.402597402597,0.6,0.4,2882.2401273488067,2882.2401273488067,0.12153546554044325,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
MSFT,A_100pct_monthly_dca,plain_dca,{},706538.3225611319,610000.0,96538.3225611319,15.825954518218346,5.840831343730025,-29.435202232143354,1.645910512062533,0.0,706538.3225611319,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
MSFT,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 30}",751172.0511438218,610000.0,141172.0511438218,23.14295920390521,8.293879249571207,-28.95791467379545,1.6600156723474582,20000.0,731172.0511438218,22.591459217950923,61.0,15.0,0.0,589.4105894105894,0.0,1.0,44633.72858268989,44633.72858268989,2.4530479058411814,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
