symbol,framework,objective,test_year,strategy_family,params_json,rule_key,train_objective_score
NVDA,B_entry_timing_only_no_sell,final_equity,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",190000.0
NVDA,B_entry_timing_only_no_sell,irr,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",4.748040006251927e-10
NVDA,B_entry_timing_only_no_sell,risk_adjusted,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",-9.999999999525196
NVDA,B_entry_timing_only_no_sell,plateau,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",190000.0
NVDA,C_60pct_dca_40pct_tactical_reserve,final_equity,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",162343.7018044345
NVDA,C_60pct_dca_40pct_tactical_reserve,irr,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",-17.717663307027415
NVDA,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",-32.306869261881516
NVDA,C_60pct_dca_40pct_tactical_reserve,plateau,2023,simple_pullback,"{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}","simple_pullback|{""ma_window"": 200, ""rsi_window"": 14, ""threshold"": 40}",162343.7018044345
NVDA,B_entry_timing_only_no_sell,final_equity,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",752289.9441558016
NVDA,B_entry_timing_only_no_sell,irr,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",81.62617214837414
NVDA,B_entry_timing_only_no_sell,risk_adjusted,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",69.34926633582971
NVDA,B_entry_timing_only_no_sell,plateau,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",752289.9441558016
NVDA,C_60pct_dca_40pct_tactical_reserve,final_equity,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",709434.5660051379
NVDA,C_60pct_dca_40pct_tactical_reserve,irr,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",75.21429762140875
NVDA,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",60.66842677015429
NVDA,C_60pct_dca_40pct_tactical_reserve,plateau,2024,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",709434.5660051379
NVDA,B_entry_timing_only_no_sell,final_equity,2025,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",2152890.6151214098
NVDA,B_entry_timing_only_no_sell,irr,2025,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",107.86767777085302
NVDA,B_entry_timing_only_no_sell,risk_adjusted,2025,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",91.7679253026676
NVDA,B_entry_timing_only_no_sell,plateau,2025,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",2152890.6151214098
NVDA,C_60pct_dca_40pct_tactical_reserve,final_equity,2025,bollinger_mean_reversion,"{""std_mult"": 2.5, ""window"": 20}","bollinger_mean_reversion|{""std_mult"": 2.5, ""window"": 20}",2074025.6330635715
