symbol,framework,objective,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,total_buys,excess_final_equity_vs_plain_dca,excess_irr_vs_plain_dca,beat_plain_dca,sortino
NVDA,A_100pct_monthly_dca,baseline,1304426.557193424,420000.0,884426.5571934241,210.57775171272004,75.52769773729361,-33.72225642295218,2.312079458586449,0.0,1304426.557193424,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
NVDA,B_entry_timing_only_no_sell,final_equity,1063764.7071963667,420000.0,643764.7071963667,,60.23074970781741,-29.238137586845014,2.0454985248689104,,,22.124424966487986,,,,,,,12.0,-240661.84999705735,-15.296948029476198,False,5.610120051998113
NVDA,B_entry_timing_only_no_sell,irr,1063764.7071963667,420000.0,643764.7071963667,,60.23074970781741,-29.238137586845014,2.0454985248689104,,,22.124424966487986,,,,,,,12.0,-240661.84999705735,-15.296948029476198,False,5.610120051998113
NVDA,B_entry_timing_only_no_sell,risk_adjusted,1063764.7071963667,420000.0,643764.7071963667,,60.23074970781741,-29.238137586845014,2.0454985248689104,,,22.124424966487986,,,,,,,12.0,-240661.84999705735,-15.296948029476198,False,5.610120051998113
NVDA,B_entry_timing_only_no_sell,plateau,1063764.7071963667,420000.0,643764.7071963667,,60.23074970781741,-29.238137586845014,2.0454985248689104,,,22.124424966487986,,,,,,,12.0,-240661.84999705735,-15.296948029476198,False,5.610120051998113
NVDA,C_60pct_dca_40pct_tactical_reserve,final_equity,1208161.8171946015,420000.0,788161.8171946015,,69.67759915182789,-32.236929488471425,2.2411158207881434,,,7.065971214554373,,,,,,,54.0,-96264.73999882257,-5.850098585465716,False,5.6271448252332394
NVDA,C_60pct_dca_40pct_tactical_reserve,irr,1208161.8171946015,420000.0,788161.8171946015,,69.67759915182789,-32.236929488471425,2.2411158207881434,,,7.065971214554373,,,,,,,54.0,-96264.73999882257,-5.850098585465716,False,5.6271448252332394
NVDA,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,1208161.8171946015,420000.0,788161.8171946015,,69.67759915182789,-32.236929488471425,2.2411158207881434,,,7.065971214554373,,,,,,,54.0,-96264.73999882257,-5.850098585465716,False,5.6271448252332394
NVDA,C_60pct_dca_40pct_tactical_reserve,plateau,1208161.8171946015,420000.0,788161.8171946015,,69.67759915182789,-32.236929488471425,2.2411158207881434,,,7.065971214554373,,,,,,,54.0,-96264.73999882257,-5.850098585465716,False,5.6271448252332394
GOOGL,A_100pct_monthly_dca,baseline,939869.7034655648,420000.0,519869.70346556476,123.77850082513446,51.34648738407835,-25.282294807834973,2.165127918548484,0.0,939869.7034655648,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
GOOGL,B_entry_timing_only_no_sell,final_equity,848850.9026355942,420000.0,428850.90263559425,,44.25479442137345,-20.956625402241226,2.01677177280586,,,18.77519626881982,,,,,,,11.0,-91018.80082997051,-7.091692962704904,False,8.4094591078728
GOOGL,B_entry_timing_only_no_sell,irr,848850.9026355942,420000.0,428850.90263559425,,44.25479442137345,-20.956625402241226,2.01677177280586,,,18.77519626881982,,,,,,,11.0,-91018.80082997051,-7.091692962704904,False,8.4094591078728
GOOGL,B_entry_timing_only_no_sell,risk_adjusted,855948.4656607057,420000.0,435948.4656607057,,44.827398953094786,-24.335690546776114,2.015341640907961,,,16.29114181836687,,,,,,,17.0,-83921.23780485906,-6.519088430983565,False,8.108239659565008
GOOGL,B_entry_timing_only_no_sell,plateau,853912.184288951,420000.0,433912.184288951,,44.66347870217856,-21.0675571158498,2.065327633089397,,,27.95455820820055,,,,,,,14.0,-85957.51917661377,-6.683008681899793,False,7.982778129401274
GOOGL,C_60pct_dca_40pct_tactical_reserve,final_equity,903462.1831335766,420000.0,483462.18313357665,,48.57318068234605,-23.674637001772137,2.1109617379905665,,,7.0801229104482415,,,,,,,53.0,-36407.52033198811,-2.7733067017323023,False,7.886176263885117
GOOGL,C_60pct_dca_40pct_tactical_reserve,irr,903462.1831335766,420000.0,483462.18313357665,,48.57318068234605,-23.674637001772137,2.1109617379905665,,,7.0801229104482415,,,,,,,53.0,-36407.52033198811,-2.7733067017323023,False,7.886176263885117
GOOGL,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,901500.879699812,420000.0,481500.87969981204,,48.42146508858624,-23.674637001772137,2.1100056058389107,,,7.0520864549337245,,,,,,,53.0,-38368.82376575272,-2.925022295492113,False,7.879552852426911
GOOGL,C_60pct_dca_40pct_tactical_reserve,plateau,905884.3476817854,420000.0,485884.34768178535,,48.76021204000051,-23.703429020399902,2.136215815361911,,,10.434324230272818,,,,,,,53.0,-33985.35578377941,-2.5862753440778405,False,8.082907578329003
GOOG,A_100pct_monthly_dca,baseline,929980.4534815759,420000.0,509980.45348157594,121.42391749561332,50.601104712252855,-24.812695354285953,2.166666123561567,0.0,929980.4534815759,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
